No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック
104	＋＋	仲介手数料 安い 不動産 賃貸	35	110	記事	Know（賃貸で手数料を安くする方法を知りたい）	ガイド記事	賃貸特化
105	＋＋	仲介手数料 安い 不動産屋	35	210	記事	Buy（安い不動産会社を見つけたい）	比較記事	安い不動産会社
106	＋＋	仲介手数料 安い 不動産 大阪	27	30	削除			地域KW
107	＋＋	仲介手数料 安い 不動産 東京	41	70	削除			地域KW
108	＋＋	仲介手数料 安い 不動産 福岡	17	30	削除			地域KW
109	＋＋	仲介手数料 安い 不動産 購入	28	30	記事	Know（購入時の手数料を把握したい）	ガイド記事	売買特化
110	＋α	仲介手数料 0.5ヶ月	28	210	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
111	＋α	仲介手数料 0.55ヶ月	25	140	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
112	＋α	仲介手数料 0円	34	170	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
113	＋α	仲介手数料 0.5	25	70	記事	Know（具体的な金額・率の意味を知りたい）	要確認	その他（要確認）
114	＋α	仲介手数料 0.55ヶ月 法律	41	20	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
115	＋α	仲介手数料 0.55	31	50	記事	Know（具体的な金額・率の意味を知りたい）	要確認	その他（要確認）
116	＋α	仲介手数料 0	22	110	記事	Know（具体的な金額・率の意味を知りたい）	要確認	その他（要確認）
117	＋α	仲介手数料 0円 なぜ	25	30	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
118	＋α	仲介手数料 0.5ヶ月 交渉	45	50	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
119	＋α	仲介手数料 0.5か月	N/A	10	記事	Know（具体的な金額・率の意味を知りたい）	要確認	その他（要確認）
120	＋α	仲介手数料 1ヶ月	34	140	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
121	＋α	仲介手数料 1ヶ月 違法	34	1300	記事	Know（請求された金額が違法でないか確認したい）	解説記事	違法性の解説
122	＋α	仲介手数料 1ヶ月分	45	70	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
123	＋α	仲介手数料 1.1	42	50	記事	Know（具体的な金額・率の意味を知りたい）	要確認	その他（要確認）
124	＋α	仲介手数料 1.1ヶ月とは	N/A	0	削除			
125	＋α	仲介手数料 1.1ヶ月 交渉	50	10	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
126	＋α	仲介手数料 1ヶ月分 拒否	N/A	0	削除			
127	＋α	仲介手数料 1000万円以下	27	30	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
128	＋α	仲介手数料 1.1ヶ月	35	480	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
129	＋α	仲介手数料 1.1ヶ月 違法	48	40	記事	Know（請求された金額が違法でないか確認したい）	解説記事	違法性の解説
130	＋α	仲介手数料 20万円以上	32	50	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
131	＋α	仲介手数料 200万円以下	46	90	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
132	＋α	仲介手数料 2ヶ月	27	10	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
133	＋α	仲介手数料 2ヶ月分	25	20	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
134	＋α	仲介手数料 2000万円	29	0	削除			
135	＋α	仲介手数料 2社	24	20	記事	Know（具体的な金額・率の意味を知りたい）	要確認	その他（要確認）
136	＋α	仲介手数料 2	30	10	記事	Know（具体的な金額・率の意味を知りたい）	要確認	その他（要確認）
137	＋α	仲介手数料 200万円	N/A	10	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
138	＋α	仲介手数料 200万円以下 改正	N/A	0	削除			
139	＋α	仲介手数料 2重	19	0	削除			
140	＋α	仲介手数料 33万円	23	260	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
141	＋α	仲介手数料 3	45	70	記事	Know（具体的な金額・率の意味を知りたい）	要確認	その他（要確認）
142	＋α	仲介手数料 30万円	26	110	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
143	＋α	仲介手数料 3 税込	28	0	削除			
144	＋α	仲介手数料 3.3	23	30	記事	Know（具体的な金額・率の意味を知りたい）	要確認	その他（要確認）
145	＋α	仲介手数料 3パーセント	42	70	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
146	＋α	仲介手数料 300万円	N/A	20	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
147	＋α	仲介手数料 3000万	N/A	0	削除			
148	＋α	仲介手数料 3 以上	30	0	削除			
149	＋α	仲介手数料 33万円 土地	N/A	0	削除			
150	＋α	仲介手数料 4	42	10	記事	Know（具体的な金額・率の意味を知りたい）	要確認	その他（要確認）
151	＋α	仲介手数料 400万円以下	28	70	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
152	＋α	仲介手数料 400万円	44	20	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
153	＋α	仲介手数料 4000万	40	0	削除			
154	＋α	仲介手数料 400万円以下 計算	31	70	計算ページ	Do（正確な金額を計算したい）	計算ツール	
155	＋α	仲介手数料 450万円	N/A	0	削除			
156	＋α	仲介手数料 400万円以下 改正	35	320	記事	Know（法改正が自分に影響するか知りたい）	解説記事	法改正解説
157	＋α	仲介手数料 400万円以上	29	10	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
158	＋α	仲介手数料 4万	N/A	0	削除			
159	＋α	仲介手数料 4パーセント	N/A	10	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
160	＋α	仲介手数料 500万円以下	27	50	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
161	＋α	仲介手数料 50パーセント	43	40	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
162	＋α	仲介手数料 50	41	30	記事	Know（具体的な金額・率の意味を知りたい）	要確認	その他（要確認）
163	＋α	仲介手数料 500万円	28	10	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
164	＋α	仲介手数料 5000万	N/A	0	削除			
165	＋α	仲介手数料 55	24	20	記事	Know（具体的な金額・率の意味を知りたい）	要確認	その他（要確認）
166	＋α	仲介手数料 5	43	10	記事	Know（具体的な金額・率の意味を知りたい）	要確認	その他（要確認）
167	＋α	仲介手数料 5万	31	0	削除			
168	＋α	仲介手数料 5割	N/A	0	削除			
169	＋α	仲介手数料 55パーセント	N/A	30	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
170	＋α	仲介手数料 6万円	23	70	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
171	＋α	仲介手数料 6万とは	N/A	20	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
172	＋α	仲介手数料 6万円 なぜ	24	10	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
173	＋α	仲介手数料 6パーセント	23	30	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
174	＋α	仲介手数料 600万円	26	0	削除			
175	＋α	仲介手数料 6	N/A	20	記事	Know（具体的な金額・率の意味を知りたい）	要確認	その他（要確認）
176	＋α	仲介手数料 6万円 意味	20	10	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
177	＋α	仲介手数料 6万円 根拠	30	30	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
178	＋α	仲介手数料 7万	41	20	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
179	＋α	仲介手数料 700万円	23	0	削除			
180	＋α	仲介手数料 700万以下	N/A	0	削除			
181	＋α	仲介手数料 70万	N/A	0	削除			
182	＋α	仲介手数料 7	N/A	0	削除			
183	＋α	7000万 仲介手数料	N/A	0	削除			
184	＋α	700万円以下 仲介手数料	N/A	0	削除			
185	＋α	750万円 仲介手数料	N/A	0	削除			
186	＋α	780万円 仲介手数料	N/A	0	削除			
187	＋α	仲介手数料 800万円以下	25	720	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
188	＋α	仲介手数料 800万円以下 改正	24	210	記事	Know（法改正が自分に影響するか知りたい）	解説記事	法改正解説
189	＋α	仲介手数料 800万円	N/A	0	削除			
190	＋α	仲介手数料 8万	47	10	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
191	＋α	仲介手数料 800万円以下 土地	N/A	0	削除			
192	＋α	仲介手数料 800	N/A	0	削除			
193	＋α	仲介手数料 800万円以下 改正 土地	44	0	削除			
194	＋α	仲介手数料 800万円以下 改正 いつから	43	70	記事	Know（法改正が自分に影響するか知りたい）	解説記事	法改正解説
195	＋α	仲介手数料 800万以上	N/A	0	削除			
196	＋α	仲介手数料 800万円以下 改正 国土交通省	34	90	記事	Know（法改正が自分に影響するか知りたい）	解説記事	法改正解説
197	＋α	仲介手数料 9万	27	0	削除			
198	＋α	仲介手数料 9800円	22	10	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
199	＋α	仲介手数料 900万円	29	0	削除			
200	＋α	仲介手数料 900万円以下	N/A	0	削除			
201	＋α	仲介手数料 90	N/A	0	削除			
202	＋α	仲介手数料 90万円	N/A	0	削除			
203	＋α	980万円 仲介手数料	N/A	20	計算ページ	Do（正確な金額を計算したい）	計算ツール	金額早見表
204	＋α	9000万円 仲介手数料	25	0	削除			
205	＋α	950万 仲介手数料	N/A	0	削除			
206	＋α	仲介手数料 ad	43	30	記事	Know（業界の仕組み・慣習を知りたい）	解説記事	業界の仕組み
207	＋α	仲介手数料 アパマンショップ	34	1900	削除			ブランドKW
208	＋α	仲介手数料 相見積もり	26	20	記事	Do（請求された手数料が正しいか確認したい）	FAQ記事	確認方法
209	＋α	仲介手数料 按分	33	20	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
210	＋α	仲介手数料 アエラス	N/A	0	削除			
211	＋α	仲介手数料 ad 違い	29	10	記事	Know（業界の仕組み・慣習を知りたい）	解説記事	業界の仕組み
212	＋α	仲介手数料 預り金	N/A	0	削除			
213	＋α	仲介手数料 アパート	35	210	記事	Know（自分の物件タイプの手数料を知りたい）	ガイド記事	物件タイプ別
214	＋α	仲介手数料 空き家	22	40	記事	Know（自分の物件タイプの手数料を知りたい）	ガイド記事	物件タイプ別
215	＋α	仲介手数料 アパート 相場	27	210	記事	Know（いくら払うのか相場を知りたい）	ガイド記事	相場ガイド
216	＋α	仲介手数料 いくら	30	320	記事	Know（いくら払うのか相場を知りたい）	ガイド記事	相場ガイド
217	＋α	仲介手数料 いつ払う	24	170	記事	Know（いつ・どう払うのかわからない）	FAQ記事	支払い・負担者
218	＋α	仲介手数料 印紙代	N/A	70	記事	Know（契約・書類の手続きを知りたい）	解説記事	契約・書類
219	＋α	仲介手数料 印紙	29	90	記事	Know（契約・書類の手続きを知りたい）	解説記事	契約・書類
220	＋α	仲介手数料 いくらくらい	44	20	記事	Know（いくら払うのか相場を知りたい）	ガイド記事	相場ガイド
221	＋α	仲介手数料 一ヶ月以上	44	30	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
222	＋α	仲介手数料 一ヶ月	34	70	記事	Know（手数料の計算ルールを知りたい）	要確認	その他（要確認）
223	＋α	仲介手数料 いつ払う 賃貸	29	30	記事	Know（賃貸の手数料ルールを知りたい）	ガイド記事	賃貸特化
224	＋α	仲介手数料 いくらまで	44	90	記事	Know（いくら払うのか相場を知りたい）	ガイド記事	相場ガイド
225	＋α	仲介手数料 一括損金	N/A	0	削除			
226	＋α	仲介手数料 売主	28	170	記事	Know（売主・買主どちらが負担するか知りたい）	ガイド記事	売買特化
227	＋α	仲介手数料 売り手 買い手	31	20	記事	Know（売主・買主どちらが負担するか知りたい）	ガイド記事	売買特化
228	＋α	仲介手数料 内訳	44	40	記事	Know（手数料の内訳が知りたい）	解説記事	費用の内訳
229	＋α	仲介手数料 売上計上時期	22	20	記事	Know（計上時期・損金処理を知りたい）	解説記事	会計処理
230	＋α	仲介手数料 売主 買主	48	20	記事	Know（売主・買主どちらが負担するか知りたい）	ガイド記事	売買特化
231	＋α	仲介手数料 上乗せ	N/A	0	削除			
232	＋α	仲介手数料 うざい	N/A	0	削除			
233	＋α	仲介手数料 売主 買主 両方	30	140	記事	Know（売主・買主どちらが負担するか知りたい）	ガイド記事	売買特化
234	＋α	仲介手数料 売る側	44	0	削除			
235	＋α	仲介手数料 受取手数料	33	0	削除			
236	＋α	仲介手数料 英語で	46	30	削除			翻訳KW
237	＋α	仲介手数料 エイブル	34	1900	削除			ブランドKW
238	＋α	仲介手数料 エリッツ	34	0	削除			
239	＋α	仲介手数料 益金算入時期	22	0	削除			
240	＋α	仲介手数料 覚書 印紙	N/A	0	削除			
241	＋α	仲介手数料 オーナー負担	45	20	記事	Know（誰が負担するのかわからない）	FAQ記事	支払い・負担者
242	＋α	仲介手数料 抑える方法	N/A	10	記事	Do（手数料を値引き交渉したい）	ハウツー記事	交渉ガイド
243	＋α	仲介手数料 抑えたい	N/A	10	記事	Do（手数料を値引き交渉したい）	ハウツー記事	交渉ガイド
244	＋α	仲介手数料 表	43	20	計算ページ	Do（正確な金額を計算したい）	計算ツール	早見表
245	＋α	仲介手数料 オープンハウス	30	0	削除			
246	＋α	仲介手数料 覚書	27	10	記事	Know（契約・書類の手続きを知りたい）	解説記事	契約・書類
247	＋α	仲介手数料 大家から	28	10	記事	Know（誰が負担するのかわからない）	FAQ記事	支払い・負担者
248	＋α	仲介手数料 オフィス	N/A	10	記事	Know（自分の物件タイプの手数料を知りたい）	ガイド記事	物件タイプ別
249	＋α	仲介手数料 大家負担	42	10	記事	Know（誰が負担するのかわからない）	FAQ記事	支払い・負担者
250	＋α	仲介手数料 管理費含む	29	40	記事	Know（手数料の計算ルールを知りたい）	解説記事	賃料・管理費関連
251	＋α	仲介手数料 科目	N/A	140	記事	Do（仕訳・勘定科目を調べたい）	解説記事	会計処理
252	＋α	仲介手数料 借主100	28	50	記事	Know（誰が負担するのかわからない）	FAQ記事	支払い・負担者
253	＋α	仲介手数料 下限	45	90	記事	Know（手数料の上下限を知りたい）	解説記事	費用の内訳
254	＋α	仲介手数料 管理費	25	90	記事	Know（手数料の計算ルールを知りたい）	解説記事	賃料・管理費関連
255	＋α	仲介手数料 会計処理	33	20	記事	Do（仕訳・勘定科目を調べたい）	要確認	その他（要確認）
256	＋α	仲介手数料 かからない方法	46	70	記事	Do（手数料を払わずに済ませたい）	ハウツー記事	節約・回避
257	＋α	仲介手数料 管理費込み	N/A	N/A	削除			
258	＋α	仲介手数料 共益費	25	110	記事	Know（手数料の計算ルールを知りたい）	解説記事	賃料・管理費関連
259	＋α	仲介手数料 記載なし	26	20	記事	Know（無料の裏側・デメリットが不安）	解説記事	無料の仕組み
260	＋α	仲介手数料 共益費含む	30	40	記事	Know（手数料の計算ルールを知りたい）	解説記事	賃料・管理費関連
261	＋α	仲介手数料 キャッシュバック	19	20	記事	Buy（手数料を安くする方法を探したい）	比較記事	安くする方法
262	＋α	仲介手数料 金額別	N/A	0	削除			
263	＋α	仲介手数料 規定	31	30	記事	Know（仲介手数料の仕組みを理解したい）	解説記事	基礎解説（guide強化）
264	＋α	仲介手数料 決まり	30	30	記事	Know（仲介手数料の仕組みを理解したい）	解説記事	基礎解説（guide強化）
265	＋α	仲介手数料 キャンペーン	24	50	記事	Know（支払い方法の選択肢を知りたい）	要確認	その他（要確認）
266	＋α	仲介手数料 共益費込み	N/A	10	記事	Know（手数料の計算ルールを知りたい）	解説記事	賃料・管理費関連
267	＋α	仲介手数料 拒否	44	10	記事	Do（手数料を払わずに済ませたい）	ハウツー記事	節約・回避
268	＋α	仲介手数料 繰延資産	28	90	記事	Know（資産計上の方法を知りたい）	解説記事	会計処理
269	＋α	仲介手数料 クレジットカード	27	30	記事	Know（支払い方法の選択肢を知りたい）	要確認	その他（要確認）
270	＋α	仲介手数料 クレジット払い	N/A	0	削除			
271	＋α	仲介手数料 クレーム	32	10	記事	Know（請求された金額が違法でないか確認したい）	要確認	その他（要確認）
272	＋α	仲介手数料 車	22	0	削除			
273	＋α	仲介手数料 区分	50	0	削除			
274	＋α	仲介手数料 繰延	N/A	0	削除			
275	＋α	仲介手数料 クーポン	N/A	0	削除			
276	＋α	仲介手数料 クーリングオフ	25	0	削除			
277	＋α	仲介手数料 クリーニング代	30	0	削除			
278	＋α	仲介手数料 経費	28	140	記事	Know（経費にできるか知りたい）	解説記事	会計処理
279	＋α	仲介手数料 計上時期	24	30	記事	Know（計上時期・損金処理を知りたい）	解説記事	会計処理
280	＋α	仲介手数料 契約書	47	50	記事	Know（契約・書類の手続きを知りたい）	解説記事	契約・書類
281	＋α	仲介手数料 経費 個人事業主	53	50	記事	Know（経費にできるか知りたい）	解説記事	会計処理
