No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
13	＋＋	リフォーム費用 相場 マンション	32	50	記事	Know（リフォーム費用の相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	リフォーム費用_相場ガイド	リフォーム費用の相場はいくら？金額目安一覧	権威構築	必須	解説記事
14	＋＋	キッチン リフォーム費用 相場	30	140	記事	Know（リフォーム費用の相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	リフォーム費用_相場ガイド	リフォーム費用の相場はいくら？金額目安一覧	権威構築	必須	解説記事
15	＋＋	トイレ リフォーム費用 相場	48	40	記事	Know（リフォーム費用の相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	リフォーム費用_相場ガイド	リフォーム費用の相場はいくら？金額目安一覧	権威構築	必須	解説記事
16	＋＋	中古マンション リフォーム費用 相場	38	20	記事	Know（リフォーム費用の相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	リフォーム費用_相場ガイド	リフォーム費用の相場はいくら？金額目安一覧	権威構築	必須	解説記事
17	＋＋	中古住宅 リフォーム費用 相場	49	20	記事	Know（リフォーム費用の相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	リフォーム費用_相場ガイド	リフォーム費用の相場はいくら？金額目安一覧	権威構築	必須	解説記事
18	＋＋	家 リフォーム費用 相場	N/A	10	記事	Know（リフォーム費用の相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	リフォーム費用_相場ガイド	リフォーム費用の相場はいくら？金額目安一覧	権威構築	必須	解説記事
19	＋＋	一戸建て フル リフォーム費用 相場	30	10	記事	Know（リフォーム費用の相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	リフォーム費用_相場ガイド	リフォーム費用の相場はいくら？金額目安一覧	権威構築	必須	解説記事
20	＋＋	賃貸 リフォーム費用 相場	N/A	0	削除			解説		検索なし			対象外	不要
21	＋＋	リフォーム費用 マンション 相場	32	90	記事	Know（リフォーム費用の相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	リフォーム費用_相場ガイド	リフォーム費用の相場はいくら？金額目安一覧	権威構築	必須	解説記事
22	＋＋	フル リフォーム費用 マンション	30	1600	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
23	＋＋	壁紙 床 リフォーム費用 マンション	39	20	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
24	＋＋	トイレ リフォーム費用 マンション	33	70	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
25	＋＋	ユニットバス リフォーム費用 マンション	48	210	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
26	＋＋	3ldk リフォーム費用 マンション	30	10	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
27	＋＋	老後 リフォーム費用 マンション	27	0	削除			解説		検索なし			対象外	不要
28	＋＋	マンション スケルトン リフォーム費用	39	590	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
29	＋＋	マンション 水回り リフォーム費用	29	320	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
30	＋＋	リフォーム費用 平均 マンション	33	10	記事	Know（リフォーム費用の相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	リフォーム費用_相場ガイド	リフォーム費用の相場はいくら？金額目安一覧	権威構築	必須	解説記事
31	＋＋	リフォーム費用 戸建て 平均	30	0	削除			解説		検索なし			対象外	不要
32	＋＋	家 リフォーム費用 平均	47	20	記事	Know（リフォーム費用の相場を知りたい）	相場	データ一覧	ガイド記事	相場ガイド	リフォーム費用_相場ガイド	リフォーム費用の相場はいくら？金額目安一覧	権威構築	必須	解説記事
33	＋＋	リフォーム費用 住宅ローン控除	48	10	記事	Know（リフォームローンについて知りたい）	控除・特例	解説	解説記事	ローン	リフォーム費用控除		権威構築	補足
34	＋＋	中古住宅 リフォーム費用 住宅ローン	42	20	記事	Know（リフォームローンについて知りたい）	融資・ローン	解説	解説記事	ローン	リフォーム費用_ローン		権威構築	補足
35	＋＋	中古マンション リフォーム費用 住宅ローン	N/A	0	削除			解説		検索なし			対象外	不要
36	＋＋	sbi新生銀行 住宅ローン リフォーム費用	N/A	30	記事	Know（リフォームローンについて知りたい）	融資・ローン	解説	解説記事	ローン	リフォーム費用_ローン		権威構築	補足
37	＋＋	住信sbiネット銀行 住宅ローン リフォーム費用	55	0	削除			解説		検索なし			対象外	不要
38	＋＋	auじぶん銀行 住宅ローン リフォーム費用	53	20	記事	Know（リフォームローンについて知りたい）	融資・ローン	解説	解説記事	ローン	リフォーム費用_ローン		権威構築	補足
39	＋＋	住宅ローン リフォーム費用 上乗せ	N/A	10	記事	Know（リフォームローンについて知りたい）	融資・ローン	解説	解説記事	ローン	リフォーム費用_ローン		権威構築	補足
40	＋＋	楽天銀行 住宅ローン リフォーム費用	N/A	0	削除			解説		検索なし			対象外	不要
41	＋＋	paypay銀行 住宅ローン リフォーム費用	N/A	0	削除			解説		検索なし			対象外	不要
42	＋＋	リフォーム費用 ローン 組める	33	20	記事	Know（リフォームローンについて知りたい）	融資・ローン	解説	解説記事	ローン	リフォーム費用_ローン		権威構築	補足
43	＋＋	リフォーム費用 ローンに組み込む	N/A	0	削除			解説		検索なし			対象外	不要
44	＋＋	リフォーム費用 ローン控除	N/A	0	削除			解説		検索なし			対象外	不要
45	＋＋	リフォーム費用 ローン 金利	N/A	0	削除			解説		検索なし			対象外	不要
46	＋＋	リフォーム費用 ローン 現金	27	0	削除			解説		検索なし			対象外	不要
47	＋＋	家 リフォーム費用 ローン	N/A	10	記事	Know（リフォームローンについて知りたい）	融資・ローン	解説	解説記事	ローン	リフォーム費用_ローン		権威構築	補足
48	＋＋	フル リフォーム費用 ローン	N/A	0	削除			解説		検索なし			対象外	不要
49	＋＋	中古マンション リフォーム費用 ローン	30	10	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
50	＋＋	中古物件 リフォーム費用 ローン	N/A	0	削除			解説		検索なし			対象外	不要
51	＋＋	リフォーム費用 減価償却 耐用年数	N/A	10	記事	Do（リフォーム費用の会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	リフォーム費用_会計処理		権威構築	補足
52	＋＋	リフォーム費用 減価償却 計算	N/A	10	計算ページ	Do（リフォーム費用をシミュレーションしたい）	計算方法	実務ガイド	計算ツール		リフォーム費用計算	リフォーム費用の計算方法・シミュレーション	ツール集客	必須	計算ツール
53	＋＋	リフォーム費用 減価償却 年数	N/A	0	削除			解説		検索なし			対象外	不要
54	＋＋	リフォーム費用 減価償却期間	N/A	0	削除			解説		検索なし			対象外	不要
55	＋＋	リフォーム費用 減価償却費	N/A	0	削除			解説		検索なし			対象外	不要
56	＋＋	譲渡所得 リフォーム費用 減価償却	N/A	10	記事	Do（リフォーム費用の会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	リフォーム費用_会計処理		権威構築	補足
57	＋＋	譲渡所得 取得費 リフォーム費用 減価償却	27	10	記事	Do（リフォーム費用の会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	リフォーム費用_会計処理		権威構築	補足
58	＋＋	賃貸 リフォーム費用 減価償却	29	0	削除			解説		検索なし			対象外	不要
59	＋＋	アパート リフォーム費用 減価償却	N/A	0	削除			解説		検索なし			対象外	不要
60	＋α	リフォーム費用 100万円	N/A	0	削除			解説		検索なし			対象外	不要
61	＋α	リフォーム費用 1000万	N/A	10	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
62	＋α	リフォーム費用 1000万円	N/A	10	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
63	＋α	リフォーム費用 1500万円	N/A	0	削除			解説		検索なし			対象外	不要
64	＋α	マンション リフォーム費用 1ldk	N/A	10	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
65	＋α	15坪 リフォーム費用	N/A	70	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
66	＋α	10坪 リフォーム費用	N/A	50	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
67	＋α	100 平米 リフォーム費用	N/A	40	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
68	＋α	1ldk リフォーム費用	N/A	40	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
69	＋α	12畳 リフォーム費用	N/A	40	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
70	＋α	リフォーム費用 2000万円	N/A	0	削除			解説		検索なし			対象外	不要
71	＋α	リフォーム費用 200万	N/A	0	削除			解説		検索なし			対象外	不要
72	＋α	リフォーム費用 2025	N/A	0	削除			解説		検索なし			対象外	不要
73	＋α	リフォーム費用 2000万	N/A	0	削除			解説		検索なし			対象外	不要
74	＋α	2dk リフォーム費用	N/A	70	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
75	＋α	20坪 リフォーム費用	N/A	50	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
76	＋α	24時間換気 リフォーム費用	42	50	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
77	＋α	2階 ユニットバス リフォーム費用	28	50	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
78	＋α	2階リビング リフォーム費用	N/A	30	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
79	＋α	2世帯住宅 リフォーム費用	N/A	30	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
80	＋α	リフォーム費用 300万	N/A	0	削除			解説		検索なし			対象外	不要
81	＋α	リフォーム費用 3ldk	N/A	0	削除			解説		検索なし			対象外	不要
82	＋α	マンション リフォーム費用 3ldk	26	260	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
83	＋α	壁紙 リフォーム費用 3ldk	25	10	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
84	＋α	3ldk フル リフォーム費用	38	110	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
85	＋α	30坪 リフォーム費用	N/A	90	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
86	＋α	30坪 フル リフォーム費用	30	70	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
87	＋α	3dk リフォーム費用	N/A	40	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
88	＋α	3dk から2ldk リフォーム費用	N/A	20	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
89	＋α	35坪 フル リフォーム費用	38	30	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
90	＋α	40坪 フル リフォーム費用	29	90	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
91	＋α	40坪 リフォーム費用	N/A	40	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
92	＋α	40 平米 リフォーム費用	N/A	30	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
93	＋α	4ldk リフォーム費用	38	50	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
94	＋α	4ldk フル リフォーム費用	39	40	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
95	＋α	4 畳半 リフォーム費用	N/A	30	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
96	＋α	45坪 リフォーム費用	N/A	20	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
97	＋α	45 平米 リフォーム費用	N/A	0	削除			解説		検索なし			対象外	不要
98	＋α	マンション 4ldk リフォーム費用	N/A	0	削除			解説		検索なし			対象外	不要
99	＋α	リフォーム費用 500万円	N/A	10	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
100	＋α	50 平米 リフォーム費用	29	50	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
101	＋α	50坪 リフォーム費用	N/A	50	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
102	＋α	50代 リフォーム費用	29	50	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
103	＋α	50坪 フル リフォーム費用	N/A	30	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
104	＋α	6畳 リフォーム費用	N/A	70	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
105	＋α	6畳フローリング リフォーム費用	N/A	40	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
106	＋α	60坪 リフォーム費用	30	40	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
107	＋α	60 平米 リフォーム費用	50	30	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
108	＋α	60坪 フル リフォーム費用	N/A	10	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
109	＋α	6ldk リフォーム費用	N/A	10	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
110	＋α	70 平米 リフォーム費用	45	50	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
111	＋α	70坪 リフォーム費用	N/A	10	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
112	＋α	マンション 70平米 リフォーム費用	N/A	30	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
113	＋α	8畳 リフォーム費用	30	70	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
114	＋α	80 平米 リフォーム費用	N/A	40	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
115	＋α	80坪 リフォーム費用	N/A	10	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
116	＋α	リフォーム費用 アパート	N/A	0	削除			解説		検索なし			対象外	不要
117	＋α	リフォーム費用 上がる	N/A	0	削除			解説		検索なし			対象外	不要
118	＋α	リフォーム費用 一軒家	N/A	10	記事	Know（不動産でのリフォーム費用を知りたい）	その他	解説	解説記事	不動産特化	リフォーム費用_不動産特化	リフォーム費用と不動産投資の関係を解説	権威構築	必須	解説記事
119	＋α	リフォーム費用 いくら	N/A	0	削除			解説		検索なし			対象外	不要
120	＋α	リフォーム費用 いつ払う	N/A	0	削除			解説		検索なし			対象外	不要
121	＋α	リフォーム費用 一部屋	N/A	0	削除			解説		検索なし			対象外	不要
122	＋α	リフォーム費用 一括	N/A	0	削除			解説		検索なし			対象外	不要
123	＋α	リフォーム費用 内訳	33	10	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
124	＋α	内窓 リフォーム費用	28	880	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
125	＋α	ur リフォーム費用	N/A	110	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
126	＋α	ur賃貸 リフォーム費用	N/A	20	記事	Know（不動産でのリフォーム費用を知りたい）	その他	解説	解説記事	不動産特化	リフォーム費用_不動産特化	リフォーム費用と不動産投資の関係を解説	権威構築	必須	解説記事
127	＋α	ウォークインクローゼット リフォーム費用	23	110	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
128	＋α	ウォール ドア リフォーム費用	N/A	20	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
129	＋α	ウォシュレット リフォーム費用	N/A	10	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
130	＋α	ウッドデッキ リフォーム費用	28	70	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
131	＋α	内 外装 リフォーム費用	N/A	30	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
132	＋α	リフォーム費用 英語	N/A	0	削除			解説		検索なし			対象外	不要
133	＋α	リフォーム費用 エアコン	N/A	0	削除			解説		検索なし			対象外	不要
134	＋α	自宅キッチン 営業許可 リフォーム費用	24	210	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
135	＋α	エコ カラット リフォーム費用	N/A	50	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
136	＋α	エコキュート リフォーム費用	N/A	20	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
137	＋α	縁側 リフォーム費用	N/A	50	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
138	＋α	エレベーター リフォーム費用	N/A	30	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
139	＋α	リフォーム費用 親から	N/A	0	削除			解説		検索なし			対象外	不要
140	＋α	リフォーム費用 抑える	31	20	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
141	＋α	リフォーム費用 抑える方法	29	0	削除			解説		検索なし			対象外	不要
142	＋α	リフォーム費用 お風呂	50	10	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
143	＋α	リフォーム費用 親	N/A	0	削除			解説		検索なし			対象外	不要
144	＋α	リフォーム費用 親が出す	N/A	0	削除			解説		検索なし			対象外	不要
145	＋α	お風呂 リフォーム費用 戸建て リクシル	43	390	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
146	＋α	押入れ リフォーム費用	25	320	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
147	＋α	マンション お風呂 リフォーム費用	46	880	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
148	＋α	オール電化 リフォーム費用	29	140	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
149	＋α	リフォーム費用 勘定科目	30	30	記事	Do（リフォーム費用の会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	リフォーム費用_会計処理		権威構築	補足
150	＋α	リフォーム費用 確定申告	N/A	40	記事	Do（リフォーム費用の申告をしたい）	確定申告	解説	ハウツー記事	申告・届出	リフォーム費用申告		権威構築	補足
151	＋α	リフォーム費用 壁紙	28	10	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
152	＋α	リフォーム費用 借入	N/A	10	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
153	＋α	リフォーム費用 カード払い	N/A	0	削除			解説		検索なし			対象外	不要
154	＋α	リフォーム費用 キッチン	29	20	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
155	＋α	マンション キッチン リフォーム費用	29	480	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
156	＋α	キッチン フル リフォーム費用	49	140	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
157	＋α	キッチン リビング リフォーム費用	33	110	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
158	＋α	キッチンカウンター リフォーム費用	39	110	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
159	＋α	キッチン 棚 リフォーム費用	N/A	50	記事	Know（場所別のリフォーム費用を知りたい）	リフォーム	解説	ガイド記事	場所別費用	リフォーム費用_場所別費用		権威構築	補足
160	＋α	急な階段 リフォーム費用	23	140	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
161	＋α	床下 基礎 リフォーム費用	N/A	50	記事	Do（リフォーム費用の書式を確認したい）	基礎知識	解説	ハウツー記事	書式	リフォーム費用基礎解説	リフォーム費用とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
162	＋α	気流止め リフォーム費用	N/A	40	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
163	＋α	リフォーム費用 クレジットカード	N/A	0	削除			解説		検索なし			対象外	不要
164	＋α	リフォーム費用 クロス張り替え	N/A	0	削除			解説		検索なし			対象外	不要
165	＋α	リフォーム費用 クロス	N/A	10	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
166	＋α	クローゼット リフォーム費用	34	260	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
167	＋α	クローゼット 扉 リフォーム費用	26	40	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
168	＋α	駐 車場 リフォーム費用	37	170	記事	Know（車のリフォーム費用を知りたい）	その他	解説	解説記事	車・動産	リフォーム費用_車・動産		権威構築	補足
169	＋α	床の間 クローゼット リフォーム費用	23	70	記事	Do（リフォーム費用の書式を確認したい）	書類・手続き	解説	ハウツー記事	書式	リフォーム費用_書式		権威構築	補足
