No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
60	＋α	dscr 10 down	N/A	0	削除			検索なし			対象外	不要	
61	＋α	dscr 1 meaning	N/A	0	削除			検索なし			対象外	不要	
62	＋α	dscr 100 financing	N/A	0	削除			検索なし			対象外	不要	
63	＋α	dscr 14 error	N/A	0	削除			検索なし			対象外	不要	
64	＋α	dscr 15 year loan	N/A	0	削除			検索なし			対象外	不要	
65	＋α	dscr 15	N/A	N/A	削除			検索なし			対象外	不要	
66	＋α	dscr 2nd mortgage	N/A	0	削除			検索なし			対象外	不要	
67	＋α	dscr 2	N/A	0	削除			検索なし			対象外	不要	
68	＋α	dscr 2nd lien	N/A	0	削除			検索なし			対象外	不要	
69	＋α	dscr 2.0	N/A	0	削除			検索なし			対象外	不要	
70	＋α	dscr 2 つの 考え方	N/A	20	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
71	＋α	dscr 2nd	N/A	0	削除			検索なし			対象外	不要	
72	＋α	dscr 2nd loan	N/A	0	削除			検索なし			対象外	不要	
73	＋α	dscr 2025	N/A	0	削除			検索なし			対象外	不要	
74	＋α	dscr 2.5 means	N/A	0	削除			検索なし			対象外	不要	
75	＋α	dscr 2nds	N/A	0	削除			検索なし			対象外	不要	
76	＋α	dscr 30 year fixed	N/A	0	削除			検索なし			対象外	不要	
77	＋α	dscr 30 year fixed rate	N/A	0	削除			検索なし			対象外	不要	
78	＋α	dscr 30 year loan	N/A	0	削除			検索なし			対象外	不要	
79	＋α	dscr 30 year	N/A	0	削除			検索なし			対象外	不要	
80	＋α	dscr 3	N/A	0	削除			検索なし			対象外	不要	
81	＋α	dscr 30 year rates	N/A	0	削除			検索なし			対象外	不要	
82	＋α	dscr 30 year loan rates	N/A	N/A	削除			検索なし			対象外	不要	
83	＋α	dscr loan 30 year fixed	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
84	＋α	30 year dscr loan calculator	N/A	0	削除			検索なし			対象外	不要	
85	＋α	30 year dscr mortgage rates	N/A	N/A	削除			検索なし			対象外	不要	
86	＋α	dscr 40 year loan	N/A	0	削除			検索なし			対象外	不要	
87	＋α	dscr 4 means	N/A	0	削除			検索なし			対象外	不要	
88	＋α	dscr 40 year	N/A	0	削除			検索なし			対象外	不要	
89	＋α	dscr 4	N/A	0	削除			検索なし			対象外	不要	
90	＋α	dscr 4f	N/A	0	削除			検索なし			対象外	不要	
91	＋α	dscr more than 4	N/A	0	削除			検索なし			対象外	不要	
92	＋α	40 year dscr loan calculator	N/A	0	削除			検索なし			対象外	不要	
93	＋α	40 year dscr loan rates	N/A	0	削除			検索なし			対象外	不要	
94	＋α	4 way dscr	N/A	0	削除			検索なし			対象外	不要	
95	＋α	4 way dscr multiswitch	N/A	N/A	削除			検索なし			対象外	不要	
96	＋α	dscr 5 unit	N/A	0	削除			検索なし			対象外	不要	
97	＋α	dscr 5 down	N/A	0	削除			検索なし			対象外	不要	
98	＋α	dscr 5	N/A	0	削除			検索なし			対象外	不要	
99	＋α	dscr loan 50k minimum	N/A	0	削除			検索なし			対象外	不要	
100	＋α	dscr loan 500 credit score	N/A	0	削除			検索なし			対象外	不要	
101	＋α	dscr loan 550 credit score	N/A	0	削除			検索なし			対象外	不要	
102	＋α	50k dscr loan	N/A	0	削除			検索なし			対象外	不要	
103	＋α	top 5 dscr lenders	N/A	N/A	削除			検索なし			対象外	不要	
104	＋α	5 down dscr loan	N/A	0	削除			検索なし			対象外	不要	
105	＋α	5 unit dscr loan	N/A	0	削除			検索なし			対象外	不要	
106	＋α	dscr 620 credit score	N/A	0	削除			検索なし			対象外	不要	
107	＋α	dscr 600 credit score	N/A	0	削除			検索なし			対象外	不要	
108	＋α	dscr 6 unit	N/A	0	削除			検索なし			対象外	不要	
109	＋α	dscr 6	N/A	0	削除			検索なし			対象外	不要	
110	＋α	dscr loan 600 credit score	N/A	0	削除			検索なし			対象外	不要	
111	＋α	dscr loan 620 credit score	N/A	0	削除			検索なし			対象外	不要	
112	＋α	dscr loan 640 credit score	N/A	0	削除			検索なし			対象外	不要	
113	＋α	dscr loan 60k	N/A	0	削除			検索なし			対象外	不要	
114	＋α	dscr loan 6	N/A	0	削除			検索なし			対象外	不要	
115	＋α	6 unit dscr loan	N/A	0	削除			検索なし			対象外	不要	
116	＋α	dscr .75	N/A	0	削除			検索なし			対象外	不要	
117	＋α	dscr 7	N/A	0	削除			検索なし			対象外	不要	
118	＋α	dscr loan 75k minimum	N/A	N/A	削除			検索なし			対象外	不要	
119	＋α	dscr calculation for 7 years	N/A	N/A	削除			検索なし			対象外	不要	
120	＋α	75k dscr loan	N/A	0	削除			検索なし			対象外	不要	
121	＋α	75000 dscr loan	N/A	N/A	削除			検索なし			対象外	不要	
122	＋α	.75 dscr loan	N/A	0	削除			検索なし			対象外	不要	
123	＋α	sba 7a dscr requirements	N/A	0	削除			検索なし			対象外	不要	
124	＋α	sba 7a dscr	N/A	0	削除			検索なし			対象外	不要	
125	＋α	dscr 85 ltv	N/A	0	削除			検索なし			対象外	不要	
126	＋α	dscr 80 cash out	N/A	0	削除			検索なし			対象外	不要	
127	＋α	dscr 8 unit	N/A	0	削除			検索なし			対象外	不要	
128	＋α	dscr 80 ltv cash out	N/A	0	削除			検索なし			対象外	不要	
129	＋α	dscr 8nv	N/A	0	削除			検索なし			対象外	不要	
130	＋α	dscr 8	N/A	0	削除			検索なし			対象外	不要	
131	＋α	dscr 80 ltv	N/A	0	削除			検索なし			対象外	不要	
132	＋α	dscr loan 80 ltv	N/A	0	削除			検索なし			対象外	不要	
133	＋α	85 ltv dscr loan	N/A	0	削除			検索なし			対象外	不要	
134	＋α	section 8 dscr loan	N/A	N/A	削除			検索なし			対象外	不要	
135	＋α	dscr 90 ltv	N/A	0	削除			検索なし			対象外	不要	
136	＋α	95 ltv dscr loan	N/A	0	削除			検索なし			対象外	不要	
137	＋α	95 ltv dscr	N/A	0	削除			検索なし			対象外	不要	
138	＋α	95 dscr loan	N/A	0	削除			検索なし			対象外	不要	
139	＋α	95 dscr	N/A	N/A	削除			検索なし			対象外	不要	
140	＋α	dscr アパート	N/A	0	削除			検索なし			対象外	不要	
141	＋α	dscr akamai net	N/A	0	削除			検索なし			対象外	不要	
142	＋α	dscr and llcr	N/A	0	削除			検索なし			対象外	不要	
143	＋α	dscr アクチュアル	N/A	0	削除			検索なし			対象外	不要	
144	＋α	dscr and ltv	N/A	0	削除			検索なし			対象外	不要	
145	＋α	dscr and icr	N/A	0	削除			検索なし			対象外	不要	
146	＋α	dscr and dsra	N/A	0	削除			検索なし			対象外	不要	
147	＋α	dscr arm	N/A	0	削除			検索なし			対象外	不要	
148	＋α	dscr and irr	N/A	N/A	削除			検索なし			対象外	不要	
149	＋α	adscr sdscr	N/A	0	削除			検索なし			対象外	不要	
150	＋α	dscr 意味	N/A	20	記事	Know（DSCRの意味を理解したい）	解説記事	基礎解説	DSCR基礎解説	DSCRとは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
151	＋α	dscr icr	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
152	＋α	dscr icr 違い	N/A	N/A	削除			検索なし			対象外	不要	
153	＋α	dscr in lbo	N/A	0	削除			検索なし			対象外	不要	
154	＋α	dscr irr	N/A	0	削除			検索なし			対象外	不要	
155	＋α	dscr investor loans	N/A	N/A	削除			検索なし			対象外	不要	
156	＋α	dscr icr difference	N/A	0	削除			検索なし			対象外	不要	
157	＋α	dscr in finance	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
158	＋α	dscr iscr	N/A	0	削除			検索なし			対象外	不要	
159	＋α	dscr include capex	N/A	N/A	削除			検索なし			対象外	不要	
160	＋α	dscr wiki	N/A	0	削除			検索なし			対象外	不要	
161	＋α	dscr with ebitda	N/A	0	削除			検索なし			対象外	不要	
162	＋α	dscr with cash	N/A	N/A	削除			検索なし			対象外	不要	
163	＋α	dscr what is debt service	N/A	0	削除			検索なし			対象外	不要	
164	＋α	dscr what does it stand for	N/A	0	削除			検索なし			対象外	不要	
165	＋α	lock up dscr	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
166	＋α	what is dscr and ltv	N/A	N/A	削除			検索なし			対象外	不要	
167	＋α	what is dscr in finance	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
168	＋α	what is dscr loan	N/A	N/A	削除			検索なし			対象外	不要	
169	＋α	what is dscr and icr	N/A	N/A	削除			検索なし			対象外	不要	
170	＋α	dscr ebitda	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
171	＋α	dscr エクセル	N/A	0	削除			検索なし			対象外	不要	
172	＋α	dscr eod	N/A	0	削除			検索なし			対象外	不要	
173	＋α	dsrc etc	24	170	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
174	＋α	dscr english	N/A	0	削除			検索なし			対象外	不要	
175	＋α	dscr equation	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
176	＋α	dscr equity	N/A	0	削除			検索なし			対象外	不要	
177	＋α	dscr en finance	N/A	0	削除			検索なし			対象外	不要	
178	＋α	dscr en icr	N/A	N/A	削除			検索なし			対象外	不要	
179	＋α	dscr ratio explained	N/A	0	削除			検索なし			対象外	不要	
180	＋α	dscr or dcr	N/A	N/A	削除			検索なし			対象外	不要	
181	＋α	dscr of 1	N/A	0	削除			検索なし			対象外	不要	
182	＋α	dscr of 1.2	N/A	N/A	削除			検索なし			対象外	不要	
183	＋α	dscr of 1.25	N/A	0	削除			検索なし			対象外	不要	
184	＋α	dscr of 2	N/A	0	削除			検索なし			対象外	不要	
185	＋α	dscr of 1.1	N/A	N/A	削除			検索なし			対象外	不要	
186	＋α	dscr of 1.5	N/A	0	削除			検索なし			対象外	不要	
187	＋α	dscr of 1.3	N/A	0	削除			検索なし			対象外	不要	
188	＋α	dscr of 1.15	N/A	0	削除			検索なし			対象外	不要	
189	＋α	dscr of 4	N/A	N/A	削除			検索なし			対象外	不要	
190	＋α	dscr 借入金 償還 余裕 率	N/A	0	削除			検索なし			対象外	不要	
191	＋α	dscr calculation	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
192	＋α	dscr 考え方	N/A	0	削除			検索なし			対象外	不要	
193	＋α	dscr cad	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
194	＋α	dscr calculation formula	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
195	＋α	dscr 改善	N/A	0	削除			検索なし			対象外	不要	
196	＋α	dscr 借入	N/A	N/A	削除			検索なし			対象外	不要	
197	＋α	dscr capex	N/A	0	削除			検索なし			対象外	不要	
198	＋α	dscr cash sweep	N/A	0	削除			検索なし			対象外	不要	
199	＋α	dscr cash	N/A	N/A	削除			検索なし			対象外	不要	
200	＋α	dscr 基準	N/A	20	記事	Know（DSCRの目安を知りたい）	ガイド記事	目安	DSCR_目安		権威構築	補足	
201	＋α	dscr 基準値	N/A	0	削除			検索なし			対象外	不要	
202	＋α	dscr キャッシュ フロー	N/A	0	削除			検索なし			対象外	不要	
203	＋α	dscr キャッシュスイープ	N/A	0	削除			検索なし			対象外	不要	
204	＋α	dscr 金利	N/A	N/A	削除			検索なし			対象外	不要	
205	＋α	dscr kiavi	N/A	N/A	削除			検索なし			対象外	不要	
206	＋α	dscr フリー キャッシュ フロー	N/A	0	削除			検索なし			対象外	不要	
207	＋α	cumulative dscr	N/A	0	削除			検索なし			対象外	不要	
208	＋α	dscr コベナンツ	N/A	20	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
209	＋α	dscr コンスタントレートとは	N/A	0	削除			検索なし			対象外	不要	
210	＋α	dscr コンスタントレート	N/A	20	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
211	＋α	dscr covenant	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
212	＋α	dscr 攻勢	N/A	0	削除			検索なし			対象外	不要	
213	＋α	dscr 公式	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
214	＋α	dscr constant	N/A	0	削除			検索なし			対象外	不要	
215	＋α	dscr commercial loan	N/A	0	削除			検索なし			対象外	不要	
216	＋α	dscr cons	N/A	0	削除			検索なし			対象外	不要	
217	＋α	ストレス dscr ローン コンスタント	N/A	20	記事	Know（不動産融資でのDSCRを知りたい）	解説記事	不動産融資	DSCR_不動産融資	DSCRと不動産融資の関係を解説	権威構築	必須	解説記事
218	＋α	dscr 算出方法	N/A	0	削除			検索なし			対象外	不要	
219	＋α	dscr 算出	N/A	N/A	削除			検索なし			対象外	不要	
220	＋α	dscr 算法	N/A	0	削除			検索なし			対象外	不要	
221	＋α	dscr 怎麼 算	N/A	0	削除			検索なし			対象外	不要	
222	＋α	dscr 怎么 算	N/A	0	削除			検索なし			対象外	不要	
223	＋α	デッド サイジング dscr	N/A	0	削除			検索なし			対象外	不要	
224	＋α	サイジング dscr	N/A	0	削除			検索なし			対象外	不要	
225	＋α	dscr 指標	N/A	0	削除			検索なし			対象外	不要	
226	＋α	dscr 式	N/A	0	削除			検索なし			対象外	不要	
227	＋α	dscr 種類	N/A	0	削除			検索なし			対象外	不要	
228	＋α	dscr sizing	N/A	0	削除			検索なし			対象外	不要	
229	＋α	dscr 計算 式	N/A	170	計算ページ	Do（DSCRを計算したい）	計算ツール		DSCR計算	DSCRの計算方法・シミュレーション	ツール集客	必須	計算ツール
230	＋α	dscr 減価 償却	N/A	0	削除			検索なし			対象外	不要	
231	＋α	シニア dscr	N/A	N/A	削除			検索なし			対象外	不要	
232	＋α	収益 物件 dscr	N/A	0	削除			検索なし			対象外	不要	
233	＋α	dscr 水準	N/A	10	記事	Know（DSCRの目安を知りたい）	ガイド記事	目安	DSCR_目安		権威構築	補足	
234	＋α	dscr ストレス	N/A	0	削除			検索なし			対象外	不要	
235	＋α	dscr キャッシュ スイープ	N/A	0	削除			検索なし			対象外	不要	
236	＋α	元利金返済カバー率(dscr) 数式	N/A	N/A	削除			検索なし			対象外	不要	
237	＋α	ストレス dscr と は	N/A	0	削除			検索なし			対象外	不要	
238	＋α	dscr 設定	N/A	0	削除			検索なし			対象外	不要	
239	＋α	dscr 設定方法	N/A	0	削除			検索なし			対象外	不要	
240	＋α	dscr service	N/A	N/A	削除			検索なし			対象外	不要	
241	＋α	dscr sensitivity	N/A	0	削除			検索なし			対象外	不要	
242	＋α	dscr 配当 制限	N/A	0	削除			検索なし			対象外	不要	
243	＋α	dscr debt service coverage ratio	N/A	2400	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
244	＋α	dscr debt service	N/A	2400	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
245	＋α	dscr loan securitization	N/A	0	削除			検索なし			対象外	不要	
246	＋α	dscr debt service coverage	N/A	N/A	削除			検索なし			対象外	不要	
247	＋α	senior dscr	N/A	0	削除			検索なし			対象外	不要	
248	＋α	sony dscr 1	34	480	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
249	＋α	dscr 単位	N/A	0	削除			検索なし			対象外	不要	
250	＋α	dscr 高い	N/A	0	削除			検索なし			対象外	不要	
251	＋α	dscr 太陽 光	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
252	＋α	dscr target	N/A	0	削除			検索なし			対象外	不要	
253	＋α	dscr tax	N/A	0	削除			検索なし			対象外	不要	
254	＋α	dscr 賃貸	N/A	0	削除			検索なし			対象外	不要	
255	＋α	dscr 中文	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
256	＋α	dscr check	N/A	N/A	削除			検索なし			対象外	不要	
257	＋α	dscr loan 中文	N/A	0	削除			検索なし			対象外	不要	
258	＋α	dscr ratio 中文	N/A	0	削除			検索なし			対象外	不要	
259	＋α	llcr dscr 違い	N/A	0	削除			検索なし			対象外	不要	
260	＋α	icr dscr 違い	N/A	N/A	削除			検索なし			対象外	不要	
261	＋α	通期 dscr	N/A	0	削除			検索なし			対象外	不要	
262	＋α	dscr 定義	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
263	＋α	dscr テスト コンスタント レート	N/A	10	削除			無関係ノイズ			対象外	不要	
264	＋α	dscr テスト	N/A	70	削除			無関係ノイズ			対象外	不要	
265	＋α	dscr テスト と は	N/A	50	削除			無関係ノイズ			対象外	不要	
266	＋α	dscr テスト 不動産	N/A	0	削除			検索なし			対象外	不要	
267	＋α	dscr test	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
268	＋α	dscr 適正	N/A	0	削除			検索なし			対象外	不要	
269	＋α	dscr 抵触	N/A	0	削除			検索なし			対象外	不要	
270	＋α	dscr っ て 何	N/A	N/A	削除			検索なし			対象外	不要	
271	＋α	dscr っ て	N/A	N/A	削除			検索なし			対象外	不要	
272	＋α	dscr と は 不動産	N/A	70	記事	Know（不動産融資でのDSCRを知りたい）	解説記事	不動産融資	DSCR_不動産融資	DSCRと不動産融資の関係を解説	権威構築	必須	解説記事
273	＋α	dscr と は わかり やすく	N/A	0	削除			検索なし			対象外	不要	
274	＋α	dscr と は 計算	N/A	0	削除			検索なし			対象外	不要	
275	＋α	dscr と は 計算 式	N/A	0	削除			検索なし			対象外	不要	
276	＋α	dscr と	N/A	0	削除			検索なし			対象外	不要	
277	＋α	dscr とら	N/A	0	削除			検索なし			対象外	不要	
278	＋α	dscr 投資	N/A	0	削除			検索なし			対象外	不要	
279	＋α	dscr 何 倍	N/A	0	削除			検索なし			対象外	不要	
280	＋α	dscr 何の略	N/A	0	削除			検索なし			対象外	不要	
281	＋α	foreign national dscr loan	N/A	0	削除			検索なし			対象外	不要	
282	＋α	dscr 日本 語	N/A	0	削除			検索なし			対象外	不要	
283	＋α	dscr 値	N/A	0	削除			検索なし			対象外	不要	
284	＋α	dscr 基準 値	N/A	0	削除			検索なし			対象外	不要	
285	＋α	dscr 適正 値	N/A	0	削除			検索なし			対象外	不要	
286	＋α	dscr の 計算 式	N/A	0	削除			検索なし			対象外	不要	
287	＋α	dscr noi	N/A	10	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
288	＋α	dscr の 計算 方法	N/A	0	削除			検索なし			対象外	不要	
289	＋α	dscr non qm	N/A	0	削除			検索なし			対象外	不要	
290	＋α	dscr non qm loan	N/A	0	削除			検索なし			対象外	不要	
291	＋α	dscr non recourse loan	N/A	0	削除			検索なし			対象外	不要	
292	＋α	dscr 何 の 略	N/A	0	削除			検索なし			対象外	不要	
293	＋α	ノンリコースローン dscr	N/A	0	削除			検索なし			対象外	不要	
294	＋α	dscr 配当	N/A	0	削除			検索なし			対象外	不要	
295	＋α	dscr 判定	N/A	0	削除			検索なし			対象外	不要	
296	＋α	dscr と は	20	1000	記事	Know（DSCRの概要を知りたい）	解説記事	基礎解説	DSCR_基礎解説	DSCRの基礎知識まとめ	権威構築	必須	ピラーページ
297	＋α	dscr 低い	N/A	0	削除			検索なし			対象外	不要	
298	＋α	dscr 評価	N/A	0	削除			検索なし			対象外	不要	
