No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	テーマ	記事の方向性	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
30	＋＋	相続税 税率 2025	N/A	10	記事	Know（税率・税額を知りたい）	税金	解説	ガイド記事	税率	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
31	＋＋	相続税 税率 兄弟	33	30	記事	Know（税率・税額を知りたい）	税金	解説	ガイド記事	税率	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
32	＋＋	相続税 税率 一覧	N/A	40	記事	Know（税率・税額を知りたい）	税金	解説	ガイド記事	税率	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
33	＋＋	相続税 いくらからかかる	33	3600	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
34	＋＋	相続税 いくらから 親子	48	880	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
35	＋＋	相続税 いくらから 妻	47	590	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
36	＋＋	相続税 いくらから発生	50	210	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
37	＋＋	相続税 いくらから申告	50	390	記事	Know（税率・税額を知りたい）	確定申告	解説	ガイド記事	税率	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
38	＋＋	相続税 いくらから 土地	32	110	記事	Know（税率・税額を知りたい）	その他	解説	ガイド記事	税率	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
39	＋＋	相続税 いくらから税金かかる	50	90	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
40	＋＋	相続税 いくらから 孫	N/A	30	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
41	＋＋	相続税 いくらから 年間	N/A	30	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
42	＋＋	相続税 計算方法	48	2900	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
43	＋＋	相続税 計算 シミュレーション	43	4400	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
44	＋＋	相続税 計算表	51	1900	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
45	＋＋	相続税 計算式	47	590	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
46	＋＋	相続税 計算 自分で	33	1300	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
47	＋＋	相続税 計算方法 わかりやすく	33	110	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
48	＋＋	相続税 計算例	48	480	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
49	＋＋	相続税 計算 土地	43	1900	計算ページ	Do（相続税を計算したい）	その他	実務ガイド	計算ツール		相続税不動産	相続税の相続時の計算・手続き	ツール集客	必須	計算ツール
50	＋＋	相続税 計算 不動産	45	480	計算ページ	Do（相続税を計算したい）	その他	実務ガイド	計算ツール		相続税不動産	相続税の相続時の計算・手続き	ツール集客	必須	計算ツール
51	＋＋	相続税 早見表 子供2人	33	0	削除			解説		検索なし			対象外	不要
52	＋＋	相続税 早見表 見方	32	720	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
53	＋＋	相続税 早見表 兄弟のみ	52	90	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
54	＋＋	相続税 早見表 2025	33	110	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
55	＋＋	相続税 早見表 兄弟	32	320	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
56	＋＋	相続税 早見表 配偶者なし	33	90	記事	Know（税率・税額を知りたい）	相続・贈与	解説	ガイド記事	税率	相続税配偶者		権威構築	補足
57	＋＋	相続税 早見表 計算式	N/A	20	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
58	＋＋	相続税 早見表 子供4人	33	0	削除			解説		検索なし			対象外	不要
59	＋＋	相続税 早見表 国税庁	62	30	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
60	＋＋	相続税 申告書	45	5400	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
61	＋＋	相続税 申告 不要	31	1600	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
62	＋＋	相続税 申告 必要書類	39	2400	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
63	＋＋	相続税 申告 自分で	28	2900	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
64	＋＋	相続税 申告書 書き方	39	1300	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
65	＋＋	相続税 申告方法	33	390	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
66	＋＋	相続税 申告 必要ない	32	1600	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
67	＋＋	相続税 申告 添付書類	33	590	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
68	＋＋	相続税 配偶者控除 基礎控除 併用	48	110	記事	Know（基礎控除額を確認したい）	控除・特例	解説	解説記事	基礎控除	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
69	＋＋	相続税 配偶者控除 計算式	31	260	計算ページ	Do（相続税を計算したい）	控除・特例	実務ガイド	計算ツール		相続税控除	相続税の控除・軽減措置まとめ	ツール集客	必須	計算ツール
70	＋＋	相続税 配偶者控除 申告不要	33	720	記事	Do（相続税の申告をしたい）	控除・特例	ツール	ハウツー記事	申告	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
71	＋＋	相続税 配偶者控除とは	30	170	記事	Know（相続税の仕組みを理解したい）	控除・特例	解説	解説記事	基礎解説	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
72	＋＋	相続税 配偶者控除 子供	32	0	削除			解説		検索なし			対象外	不要
73	＋＋	相続税 配偶者控除 いくら	33	70	記事	Know（税率・税額を知りたい）	控除・特例	解説	ガイド記事	税率	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
74	＋＋	相続税 配偶者控除 期限後申告	29	110	記事	Do（相続税の申告をしたい）	控除・特例	ツール	ハウツー記事	申告	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
75	＋＋	相続税 配偶者控除 条件	N/A	20	記事	Know（配偶者控除を知りたい）	控除・特例	解説	解説記事	配偶者控除	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
76	＋＋	相続税 配偶者控除 申告要件	N/A	30	記事	Do（相続税の申告をしたい）	控除・特例	ツール	ハウツー記事	申告	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
77	＋＋	相続税率表	33	590	記事	Know（税率・税額を知りたい）	税金	解説	ガイド記事	税率	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
78	＋＋	相続税率 早見表	30	320	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
79	＋＋	相続税率一覧表	N/A	40	記事	Know（税率・税額を知りたい）	税金	解説	ガイド記事	税率	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
80	＋＋	相続税率 計算方法	N/A	20	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
81	＋＋	相続税率 推移	N/A	50	記事	Know（税率・税額を知りたい）	税金	解説	ガイド記事	税率	相続税税率	相続税の税率一覧と計算方法	権威構築	必須	解説記事
82	＋＋	相続税率とは	80	70	記事	Know（税率・税額を知りたい）	基礎知識	解説	ガイド記事	税率	相続税基礎解説		権威構築	補足
83	＋＋	相続税率 計算	80	30	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
84	＋＋	相続税率 贈与税率 比較	N/A	70	記事	Know（税率・税額を知りたい）	相続・贈与	解説	ガイド記事	税率	相続税と贈与税		権威構築	補足
85	＋＋	相続税率 不動産	N/A	70	記事	Know（税率・税額を知りたい）	その他	解説	ガイド記事	税率	相続税不動産	相続税の相続時の計算・手続き	権威構築	必須	計算ツール
86	＋＋	相続税計算シミュレーション 小規模宅地	50	40	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
87	＋＋	相続税計算シミュレーション 国税庁	57	3600	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
88	＋＋	相続税計算シミュレーションアプリ	33	1300	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
89	＋＋	相続税計算シミュレーション excel	28	0	削除			解説		検索なし			対象外	不要
90	＋＋	相続税計算シミュレーション 詳細	28	0	削除			解説		検索なし			対象外	不要
91	＋＋	相続税計算シミュレーション 生命保険	33	110	計算ページ	Do（相続税を計算したい）	相続・贈与	実務ガイド	計算ツール		相続税保険		ツール集客	補足
92	＋＋	相続税計算シミュレーション 無料	49	10	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
93	＋＋	相続税 控除額	49	2400	記事	Know（基礎控除額を確認したい）	控除・特例	解説	解説記事	基礎控除	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
94	＋＋	相続税 控除対象	46	480	記事	Know（相続税の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
95	＋＋	相続税 控除できる費用	32	260	記事	Know（相続税の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
96	＋＋	相続税 控除 一覧	33	260	記事	Know（相続税の金額・相場を知りたい）	控除・特例	データ一覧	ガイド記事	相場ガイド	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
97	＋＋	相続税 控除できるもの	33	140	記事	Know（相続税の控除・軽減を知りたい）	控除・特例	解説	解説記事	控除・特例	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
98	＋＋	相続税 控除 生命保険	33	720	記事	Know（保険の相続税を知りたい）	控除・特例	解説	解説記事	生命保険	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
99	＋＋	相続税 控除 計算	56	170	計算ページ	Do（相続税を計算したい）	控除・特例	実務ガイド	計算ツール		相続税控除	相続税の控除・軽減措置まとめ	ツール集客	必須	計算ツール
100	＋＋	相続税 控除 配偶者	50	9900	記事	Know（配偶者控除を知りたい）	控除・特例	解説	解説記事	配偶者控除	相続税控除	相続税の控除・軽減措置まとめ	権威構築	必須	計算ツール
101	＋＋	相続税 控除 子供	33	0	削除			解説		検索なし			対象外	不要
102	＋＋	相続税 時効 何年	31	170	記事	Know（相続税の時効・調査を知りたい）	相続・贈与	解説	解説記事	時効・調査	相続税_時効・調査		権威構築	補足
103	＋＋	相続税 時効 10年	40	90	記事	Know（相続税の時効・調査を知りたい）	相続・贈与	解説	解説記事	時効・調査	相続税_時効・調査		権威構築	補足
104	＋＋	相続税 時効 過ぎ たら	73	20	記事	Know（相続税の時効・調査を知りたい）	相続・贈与	解説	解説記事	時効・調査	相続税_時効・調査		権威構築	補足
105	＋＋	相続税 時効 起算日	31	170	記事	Know（相続税の時効・調査を知りたい）	相続・贈与	解説	解説記事	時効・調査	相続税_時効・調査		権威構築	補足
106	＋＋	相続税 時効後	N/A	40	記事	Know（相続税の時効・調査を知りたい）	相続・贈与	解説	解説記事	時効・調査	相続税_時効・調査		権威構築	補足
107	＋＋	相続税 時効 国税庁	44	40	記事	Know（相続税の時効・調査を知りたい）	相続・贈与	解説	解説記事	時効・調査	相続税_時効・調査		権威構築	補足
108	＋＋	相続税 時効 いつから	N/A	40	記事	Know（相続税の時効・調査を知りたい）	相続・贈与	解説	解説記事	時効・調査	相続税_時効・調査		権威構築	補足
109	＋＋	相続税 時効 5年	27	20	記事	Know（相続税の時効・調査を知りたい）	相続・贈与	解説	解説記事	時効・調査	相続税_時効・調査		権威構築	補足
110	＋＋	相続税 時効 金	29	0	削除			解説		検索なし			対象外	不要
111	＋＋	相続税 非課税枠 生命保険	33	1000	記事	Know（相続税がかからないケースを知りたい）	相続・贈与	解説	解説記事	非課税ケース	相続税保険		権威構築	補足
112	＋＋	相続税 非課税枠 子供	53	0	削除			解説		検索なし			対象外	不要
113	＋＋	相続税 非課税枠 配偶者	N/A	70	記事	Know（配偶者控除を知りたい）	相続・贈与	解説	解説記事	配偶者控除	相続税配偶者		権威構築	補足
114	＋＋	相続税 非課税枠 計算	80	50	計算ページ	Do（相続税を計算したい）	計算方法	実務ガイド	計算ツール		相続税計算	相続税の計算方法・シミュレーション	ツール集客	必須	計算ツール
115	＋＋	相続税 非課税枠とは	77	50	記事	Know（相続税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	相続税基礎解説		権威構築	補足
116	＋＋	相続税 非課税枠 申告	76	10	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
117	＋＋	相続税 非課税枠 改正	77	20	記事	Know（相続税がかからないケースを知りたい）	具体例	解説	解説記事	非課税ケース	相続税_非課税ケース		権威構築	補足
118	＋＋	相続税 非課税枠 孫	N/A	0	削除			解説		検索なし			対象外	不要
119	＋＋	相続税 非課税枠 相続放棄	51	0	削除			解説		検索なし			対象外	不要
120	＋＋	相続税 申告期限 納付期限	39	140	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
121	＋＋	相続税 申告期限 過ぎた	29	320	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
122	＋＋	相続税 申告期限 間に合わない	39	210	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
123	＋＋	相続税 申告期限 過ぎたら	42	50	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
124	＋＋	相続税 申告期限 サポート 相談コミコミ	29	0	削除			解説		検索なし			対象外	不要
125	＋＋	相続税 申告期限 応当日	24	30	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
126	＋＋	相続税 申告期限 土日	29	50	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
127	＋＋	相続税 申告期限 延長	27	90	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
128	＋＋	相続税 申告期限 計算	30	50	計算ページ	Do（相続税を計算したい）	確定申告	実務ガイド	計算ツール		相続税申告	相続税の確定申告・届出の方法と必要書類	ツール集客	必須	計算ツール
129	＋α	相続税 0円 申告必要	31	40	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
130	＋α	相続税 0円	29	20	記事	Know（相続税がゼロ・不要のケースを知りたい）	控除・特例	解説	解説記事	非課税・ゼロ	相続税_非課税・ゼロ		権威構築	補足
131	＋α	相続税 0	42	10	記事	Know（相続税の具体例を知りたい）	具体例	解説	ガイド記事	具体例・ケース	相続税_具体例・ケース		権威構築	補足
132	＋α	相続税 0円 申告	42	50	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
133	＋α	相続税 0.4	N/A	0	削除			解説		検索なし			対象外	不要
134	＋α	相続税 0円申告 書き方	43	140	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
135	＋α	相続税 0円でも申告	31	50	記事	Do（相続税の申告をしたい）	確定申告	ツール	ハウツー記事	申告	相続税申告	相続税の確定申告・届出の方法と必要書類	権威構築	必須	計算ツール
136	＋α	相続税 0円 納付書	32	10	記事	Know（相続税がゼロ・不要のケースを知りたい）	控除・特例	解説	解説記事	非課税・ゼロ	相続税_非課税・ゼロ		権威構築	補足
137	＋α	相続税 1億円	45	880	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
138	＋α	相続税 1000万	50	880	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
139	＋α	相続税 110万	33	320	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
140	＋α	相続税 100万	50	260	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
141	＋α	相続税 1000万 いくら	51	90	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
142	＋α	相続税 1億6000万	43	170	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
143	＋α	相続税 10か月	29	140	記事	Know（期間別の相続税を知りたい）	時期・スケジュール	解説	ガイド記事	期間別	相続税_期間別		権威構築	補足
144	＋α	相続税 10億	33	70	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
145	＋α	相続税 10年ルール	33	110	記事	Know（相続税のルールを知りたい）	法律・制度	解説	解説記事	ルール・制度	相続税_ルール・制度		権威構築	補足
146	＋α	相続税 1500万	55	70	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
147	＋α	相続税 2割加算	25	720	記事	Know（相続税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	相続税_基礎解説	相続税の基礎知識まとめ	権威構築	必須	ピラーページ
148	＋α	相続税 2000万	48	390	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
149	＋α	相続税 2億	46	390	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
150	＋α	相続税 200万	55	210	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
151	＋α	相続税 2000万払う	N/A	70	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
152	＋α	相続税 2500万	50	70	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
153	＋α	相続税 2000万円 いくら	33	90	記事	Know（税率・税額を知りたい）	計算方法	解説	ガイド記事	税率	相続税計算	相続税の計算方法・シミュレーション	権威構築	必須	計算ツール
154	＋α	相続税 2割加算とは	34	170	記事	Know（相続税の仕組みを理解したい）	基礎知識	解説	解説記事	基礎解説	相続税基礎解説		権威構築	補足
155	＋α	相続税 2人	47	70	記事	Know（相続人数別の税額を知りたい）	相続・贈与	解説	ガイド記事	人数別	相続税_人数別		権威構築	補足
156	＋α	相続税 200万 税金	N/A	30	記事	Know（金額別の相続税を知りたい）	金額別	解説	ガイド記事	金額別	相続税_金額別		権威構築	補足
