No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
39	＋＋	住宅ローン シミュレーション 計算	33	5400	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン計算	住宅ローンの計算方法・シミュレーション	ツール集客	必須	計算ツール
40	＋＋	住宅ローン シミュレーション 借り換え	33	5400	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン借り換え		ツール集客	補足	
41	＋＋	住宅ローン減税 2026	43	0	削除			検索なし			対象外	不要	
42	＋＋	住宅ローン減税 いつまで	33	4400	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
43	＋＋	住宅ローン減税 延長	47	2900	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
44	＋＋	住宅ローン減税とは	51	2400	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
45	＋＋	住宅ローン減税 中古	47	1300	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
46	＋＋	住宅ローン減税 条件	33	2400	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
47	＋＋	住宅ローン減税 シミュレーション	33	2900	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン控除	住宅ローンの控除・軽減措置まとめ	ツール集客	必須	計算ツール
48	＋＋	住宅ローン減税 手続き	52	880	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
49	＋＋	住宅ローン減税 確定申告	51	1900	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
50	＋＋	住宅ローン控除 年末調整 2年目	54	2900	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
51	＋＋	住宅ローン控除 年末調整 必要書類	56	2400	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
52	＋＋	住宅ローン控除 年末調整 書き方 わかりやすい	51	590	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
53	＋＋	住宅ローン控除 年末調整 いくら戻る	33	590	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
54	＋＋	住宅ローン控除 年末調整 書類	51	320	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
55	＋＋	住宅ローン控除 年末調整 書き方 連帯債務	39	140	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
56	＋＋	住宅ローン控除 年末調整 2年目 書き方	60	90	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
57	＋＋	住宅ローン控除 年末調整 初年度	33	390	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
58	＋＋	住宅ローン控除 確定申告 e-tax	51	4400	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
59	＋＋	住宅ローン控除 確定申告 やり方	52	6600	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
60	＋＋	住宅ローン控除 確定申告 いつ	51	2400	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
61	＋＋	住宅ローン控除 確定申告 1年目	51	720	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
62	＋＋	住宅ローン控除 確定申告 2年目	49	590	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
63	＋＋	住宅ローン控除 確定申告 忘れた	33	210	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
64	＋＋	住宅ローン控除 確定申告 初年度	50	880	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
65	＋＋	住宅ローン控除 確定申告 いつまで	48	480	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
66	＋＋	住宅ローン 変動金利 推移	33	8100	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
67	＋＋	住宅ローン 変動金利 今後	50	4400	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
68	＋＋	住宅ローン 変動金利ランキング	33	3600	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
69	＋＋	住宅ローン 変動金利 上がった	51	2400	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
70	＋＋	住宅ローン 変動金利 5年ルール	33	480	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
71	＋＋	住宅ローン 変動金利 固定金利	33	1000	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
72	＋＋	住宅ローン 変動金利 現在	57	480	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
73	＋＋	住宅ローン 変動金利 平均	33	590	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
74	＋＋	住宅ローン 変動金利 一覧	61	170	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
75	＋＋	住宅ローン控除 必要書類 初年度	48	2400	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
76	＋＋	住宅ローン控除 必要書類 2年目	49	260	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
77	＋＋	住宅ローン控除 必要書類 2年目以降	61	140	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
78	＋＋	住宅ローン控除 必要書類 初年度 国税庁	56	390	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
79	＋＋	住宅ローン控除 必要書類 年末調整	51	2400	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
80	＋＋	住宅ローン控除 必要書類 なくした	33	20	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
81	＋＋	住宅ローン控除 必要書類 令和7年	33	20	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
82	＋＋	住宅ローン控除 必要書類 いつ届く	59	10	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
83	＋＋	住宅ローン控除 必要書類 画像	30	20	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	計算ツール
84	＋＋	住宅ローン 借り換え シミュレーション	33	5400	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン借り換え		ツール集客	補足	
85	＋＋	住宅ローン 借り換え 手数料	61	4400	記事	Know（借り換えを検討したい）	解説記事	借り換え	住宅ローン借り換え		権威構築	補足	
86	＋＋	住宅ローン 借り換え ランキング	54	1600	記事	Know（借り換えを検討したい）	解説記事	借り換え	住宅ローン借り換え		権威構築	補足	
87	＋＋	住宅ローン 借り換え おすすめ	58	1900	記事	Know（借り換えを検討したい）	解説記事	借り換え	住宅ローン借り換え		権威構築	補足	
88	＋＋	住宅ローン 借り換え デメリット	33	1000	記事	Know（借り換えを検討したい）	解説記事	借り換え	住宅ローン借り換え		権威構築	補足	
89	＋＋	住宅ローン 借り換え タイミング	52	2400	記事	Know（借り換えを検討したい）	解説記事	借り換え	住宅ローン借り換え		権威構築	補足	
90	＋＋	住宅ローン 借り換えとは	55	720	記事	Know（借り換えを検討したい）	解説記事	借り換え	住宅ローン借り換え		権威構築	補足	
91	＋＋	住宅ローン 借換	33	27100	記事	Know（借り換えを検討したい）	解説記事	借り換え	住宅ローン借り換え		権威構築	補足	
92	＋＋	住宅ローン 借り換え 金利	61	720	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
93	＋＋	住宅ローン 確定申告 2年目	52	480	記事	Do（住宅ローンの申告をしたい）	ハウツー記事	申告・届出	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
94	＋＋	住宅ローン 確定申告 初年度 必要書類	56	3600	記事	Do（住宅ローンの手続きをしたい）	ハウツー記事	手続き	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
95	＋＋	住宅ローン 確定申告 いつ	56	170	記事	Know（住宅ローンの時期を知りたい）	ガイド記事	時期・スケジュール	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
96	＋＋	住宅ローン 確定申告 初年度 忘れた	31	110	記事	Do（住宅ローンの申告をしたい）	ハウツー記事	申告・届出	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
97	＋＋	住宅ローン 確定申告 初年度 いつから	48	390	記事	Know（住宅ローンの時期を知りたい）	ガイド記事	時期・スケジュール	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
98	＋＋	住宅ローン 確定申告 年末調整	60	70	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
99	＋＋	住宅ローン 確定申告 いつまで	56	210	記事	Know（住宅ローンの時期を知りたい）	ガイド記事	時期・スケジュール	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
100	＋＋	住宅ローン 確定申告 やり方	50	260	記事	Do（住宅ローンの手続き・対策を知りたい）	ハウツー記事	手続き・対策	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
101	＋＋	住宅ローン 繰り上げ返済 シミュレーション	33	5400	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン返済		ツール集客	補足	
102	＋＋	住宅ローン 繰り上げ返済 手数料	59	1300	記事	Know（繰り上げ返済について知りたい）	解説記事	繰り上げ返済	住宅ローン返済		権威構築	補足	
103	＋＋	住宅ローン 繰り上げ返済 タイミング	48	880	記事	Know（繰り上げ返済について知りたい）	解説記事	繰り上げ返済	住宅ローン返済		権威構築	補足	
104	＋＋	住宅ローン 繰り上げ返済 メリット	49	880	記事	Know（繰り上げ返済について知りたい）	解説記事	繰り上げ返済	住宅ローン返済		権威構築	補足	
105	＋＋	住宅ローン 繰り上げ返済すべきか	49	880	記事	Know（繰り上げ返済について知りたい）	解説記事	繰り上げ返済	住宅ローン返済		権威構築	補足	
106	＋＋	住宅ローン 繰り上げ返済 デメリット	47	390	記事	Know（繰り上げ返済について知りたい）	解説記事	繰り上げ返済	住宅ローン返済		権威構築	補足	
107	＋＋	住宅ローン 繰上げ返済	33	9900	記事	Know（繰り上げ返済について知りたい）	解説記事	繰り上げ返済	住宅ローン返済		権威構築	補足	
108	＋＋	住宅ローン 繰り上げ返済 いくらから	61	140	記事	Know（繰り上げ返済について知りたい）	解説記事	繰り上げ返済	住宅ローン返済		権威構築	補足	
109	＋＋	住宅ローン 繰り上げ返済 やり方	83	140	記事	Know（繰り上げ返済について知りたい）	解説記事	繰り上げ返済	住宅ローン返済		権威構築	補足	
110	＋＋	住宅ローン 返済シミュレーション エクセル	33	140	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン返済		ツール集客	補足	
111	＋＋	住宅ローン 返済シミュレーション スーモ	49	70	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン返済		ツール集客	補足	
112	＋＋	住宅ローン 返済シミュレーション 繰り上げ返済	83	140	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン返済		ツール集客	補足	
113	＋＋	住宅ローン 返済シミュレーション 高精度	59	50	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン返済		ツール集客	補足	
114	＋＋	住宅ローン 返済シミュレーション 計算	65	90	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン返済		ツール集客	補足	
115	＋＋	住宅ローン 返済シミュレーション フラット35	62	30	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン返済		ツール集客	補足	
116	＋＋	住宅ローン 返済シミュレーション 残高	81	90	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン返済		ツール集客	補足	
117	＋＋	住宅ローン 返済シミュレーション 詳細	66	20	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン返済		ツール集客	補足	
118	＋＋	住宅ローン 返済シミュレーション sbi	61	20	計算ページ	Do（住宅ローンをシミュレーションしたい）	計算ツール		住宅ローン返済		ツール集客	補足	
119	＋＋	住宅ローン 固定金利 ランキング	52	2400	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
120	＋＋	住宅ローン 固定金利 35年	33	2400	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
121	＋＋	住宅ローン 固定金利 推移	33	1600	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
122	＋＋	住宅ローン 固定金利 現在	33	720	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
123	＋＋	住宅ローン 固定金利 変動金利	33	1000	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
124	＋＋	住宅ローン 固定金利 35年 推移	33	260	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
125	＋＋	住宅ローン 固定金利 借り換え	33	720	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
126	＋＋	住宅ローン 固定金利に した 人 知恵袋	56	210	削除			QAサイト			対象外	不要	
127	＋＋	住宅ローン 固定金利 相場	33	260	記事	Know（金利タイプを比較したい）	ガイド記事	金利比較	住宅ローン金利		権威構築	補足	
128	＋＋	住宅ローン 確定申告 初年度 やり方	N/A	30	記事	Do（住宅ローンの手続き・対策を知りたい）	ハウツー記事	手続き・対策	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
129	＋＋	住宅ローン 確定申告 初年度 年末調整	N/A	20	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
130	＋＋	住宅ローン 確定申告 初年度 ネット	N/A	110	記事	Do（住宅ローンの申告をしたい）	ハウツー記事	申告・届出	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
131	＋＋	住宅ローン 確定申告 初年度 ふるさと納税	N/A	30	記事	Do（住宅ローンの申告をしたい）	ハウツー記事	申告・届出	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
132	＋＋	住宅ローン 確定申告 初年度 書き方	50	70	記事	Do（住宅ローンの申告をしたい）	ハウツー記事	申告・届出	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
133	＋＋	住宅ローン 確定申告 初年度 いつまで	50	140	記事	Know（住宅ローンの時期を知りたい）	ガイド記事	時期・スケジュール	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
134	＋＋	住宅ローン 年末調整 書き方	53	720	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン_住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	解説記事
135	＋＋	住宅ローン 年末調整 必要書類	57	260	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン_住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	解説記事
136	＋＋	住宅ローン 年末調整 初年度	33	720	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン_住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	解説記事
137	＋＋	住宅ローン 年末調整 2年目	56	170	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン_住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	解説記事
138	＋＋	住宅ローン 年末調整 書類	33	110	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン_住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	解説記事
139	＋＋	住宅ローン 年末調整 還付金	33	50	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン_住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	解説記事
140	＋＋	住宅ローン 年末調整 確定申告	79	40	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン申告	住宅ローンの確定申告・届出の方法と必要書類	権威構築	必須	解説記事
141	＋＋	住宅ローン 年末調整 10年以降	61	20	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン_住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	解説記事
142	＋＋	住宅ローン 年末調整 年間所得の見積額	53	20	記事	Know（住宅ローン控除を理解したい）	解説記事	住宅ローン控除	住宅ローン_住宅ローン控除	住宅ローンの控除・軽減措置まとめ	権威構築	必須	解説記事
143	＋α	住宅ローン 0.7	54	70	記事	Know（住宅ローンの具体的条件を知りたい）	ガイド記事	具体例・ケース	住宅ローン_具体例・ケース		権威構築	補足	
144	＋α	住宅ローン 0.5パーセント	33	50	記事	Know（住宅ローンの具体例を知りたい）	ガイド記事	具体例・ケース	住宅ローン_具体例・ケース		権威構築	補足	
145	＋α	住宅ローン 0.5 上がった	33	10	記事	Know（金利上昇の影響を知りたい）	解説記事	金利上昇	住宅ローン_金利上昇		権威構築	補足	
146	＋α	住宅ローン 0.8	32	40	記事	Know（住宅ローンの具体的条件を知りたい）	ガイド記事	具体例・ケース	住宅ローン_具体例・ケース		権威構築	補足	
147	＋α	住宅ローン 0.9	33	30	記事	Know（住宅ローンの具体的条件を知りたい）	ガイド記事	具体例・ケース	住宅ローン_具体例・ケース		権威構築	補足	
148	＋α	住宅ローン 0.3上がると	33	30	記事	Know（金利上昇の影響を知りたい）	解説記事	金利上昇	住宅ローン_金利上昇		権威構築	補足	
