No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
78	＋α	実質利回り おすすめ	N/A	N/A	削除			検索なし			対象外	不要	
79	＋α	おおきなまごころ2 実質利回り	N/A	70	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り_基礎解説	実質利回りの基礎知識まとめ	権威構築	必須	ピラーページ
80	＋α	おおきなまごころ3 実質利回り	N/A	0	削除			検索なし			対象外	不要	
81	＋α	おおきなまごころ 実質利回り	N/A	0	削除			検索なし			対象外	不要	
82	＋α	オルカン 実質利回り	N/A	20	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り_基礎解説	実質利回りの基礎知識まとめ	権威構築	必須	ピラーページ
83	＋α	オリエンタルランド 実質利回り	N/A	0	削除			検索なし			対象外	不要	
84	＋α	オリックス生命 ムーンショット 実質利回り	N/A	0	削除			検索なし			対象外	不要	
85	＋α	オールカントリー 実質利回り	N/A	0	削除			検索なし			対象外	不要	
86	＋α	オーナーチェンジ 実質利回り	N/A	0	削除			検索なし			対象外	不要	
87	＋α	実質利回り 借入金	N/A	0	削除			検索なし			対象外	不要	
88	＋α	実質利回り 借入	N/A	0	削除			検索なし			対象外	不要	
89	＋α	実質利回り 借入金返済	N/A	0	削除			検索なし			対象外	不要	
90	＋α	還元利回り 実質利回り 違い	N/A	0	削除			検索なし			対象外	不要	
91	＋α	還元利回り 実質利回り	N/A	0	削除			検索なし			対象外	不要	
92	＋α	実質利回り 金利	N/A	10	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り_基礎解説	実質利回りの基礎知識まとめ	権威構築	必須	ピラーページ
93	＋α	キャップレート 実質利回り 違い	N/A	10	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	実質利回り_表面vs実質比較	実質利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
94	＋α	キャップレート 実質利回り	N/A	0	削除			検索なし			対象外	不要	
95	＋α	期待利回り 実質利回り	N/A	0	削除			検索なし			対象外	不要	
96	＋α	基準利率 実質利回り 違い	N/A	0	削除			検索なし			対象外	不要	
97	＋α	区分マンション 実質利回り	29	10	記事	Know（不動産での実質利回りを知りたい）	解説記事	不動産特化	実質利回り_不動産特化	実質利回りと不動産投資の関係を解説	権威構築	必須	解説記事
98	＋α	実質利回り 固定資産税	N/A	0	削除			検索なし			対象外	不要	
99	＋α	実質利回り 国債	N/A	0	削除			検索なし			対象外	不要	
100	＋α	個人年金 実質利回り	N/A	10	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り_基礎解説	実質利回りの基礎知識まとめ	権威構築	必須	ピラーページ
101	＋α	個人向け国債 実質利回り	N/A	0	削除			検索なし			対象外	不要	
102	＋α	個人年金 実質利回り 計算	N/A	0	削除			検索なし			対象外	不要	
103	＋α	コインパーキング 実質利回り	N/A	0	削除			検索なし			対象外	不要	
104	＋α	戸建て投資 実質利回り	N/A	0	削除			検索なし			対象外	不要	
105	＋α	戸建て賃貸 実質利回り	N/A	0	削除			検索なし			対象外	不要	
106	＋α	高配当株 実質利回り	N/A	0	削除			検索なし			対象外	不要	
107	＋α	実質利回り 債券	N/A	10	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り_基礎解説	実質利回りの基礎知識まとめ	権威構築	必須	ピラーページ
108	＋α	実質利回り 最低ライン	N/A	0	削除			検索なし			対象外	不要	
109	＋α	表面利回り 実質利回り 差	N/A	50	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	実質利回り_表面vs実質比較	実質利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
110	＋α	サニーガーデンex 実質利回り	39	480	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り_基礎解説	実質利回りの基礎知識まとめ	権威構築	必須	ピラーページ
111	＋α	サニーガーデン 実質利回り	N/A	10	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り_基礎解説	実質利回りの基礎知識まとめ	権威構築	必須	ピラーページ
112	＋α	債券 実質利回り 計算	N/A	0	削除			検索なし			対象外	不要	
113	＋α	メットライフ サニーガーデン 実質利回り	N/A	0	削除			検索なし			対象外	不要	
114	＋α	実質利回り シミュレーション	N/A	0	削除			検索なし			対象外	不要	
115	＋α	実質利回り 諸経費	N/A	0	削除			検索なし			対象外	不要	
116	＋α	実質利回り 消費税	N/A	0	削除			検索なし			対象外	不要	
117	＋α	小規模企業共済 実質利回り	39	50	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り_基礎解説	実質利回りの基礎知識まとめ	権威構築	必須	ピラーページ
118	＋α	新築アパート 実質利回り	N/A	0	削除			検索なし			対象外	不要	
119	＋α	収益物件 実質利回り	33	10	記事	Know（不動産での実質利回りを知りたい）	解説記事	不動産特化	実質利回り_不動産特化	実質利回りと不動産投資の関係を解説	権威構築	必須	解説記事
120	＋α	一時払い 終身保険 実質利回り	N/A	0	削除			検索なし			対象外	不要	
121	＋α	終身保険 実質利回り	N/A	0	削除			検索なし			対象外	不要	
122	＋α	新nisa 実質利回り	N/A	0	削除			検索なし			対象外	不要	
123	＋α	すかいらーく 実質利回り	N/A	0	削除			検索なし			対象外	不要	
124	＋α	世界のベスト 実質利回り	N/A	0	削除			検索なし			対象外	不要	
125	＋α	生命保険 積立利率 実質利回り	N/A	0	削除			検索なし			対象外	不要	
126	＋α	生命保険 実質利回り	N/A	0	削除			検索なし			対象外	不要	
127	＋α	実質利回り 相場	N/A	10	記事	Know（実質利回りの目安を知りたい）	ガイド記事	目安・相場	実質利回り_目安・相場	実質利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
128	＋α	アパート経営 実質利回り 相場	48	10	記事	Know（実質利回りの目安を知りたい）	ガイド記事	目安・相場	実質利回り_目安・相場	実質利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
129	＋α	ソフトバンク 実質利回り	N/A	0	削除			検索なし			対象外	不要	
130	＋α	想定利回り 実質利回り	N/A	0	削除			検索なし			対象外	不要	
131	＋α	ソニーフィナンシャルグループ 実質利回り	N/A	0	削除			検索なし			対象外	不要	
132	＋α	ソニーfg 実質利回り	N/A	0	削除			検索なし			対象外	不要	
133	＋α	ソニー生命 実質利回り	N/A	0	削除			検索なし			対象外	不要	
134	＋α	sovani 実質利回り	N/A	0	削除			検索なし			対象外	不要	
135	＋α	実質利回り 高い	N/A	0	削除			検索なし			対象外	不要	
136	＋α	太陽光発電 実質利回り ブログ	N/A	30	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り_基礎解説	実質利回りの基礎知識まとめ	権威構築	必須	ピラーページ
137	＋α	太陽光発電 実質利回り 平均	N/A	0	削除			検索なし			対象外	不要	
138	＋α	太陽光 実質利回り	N/A	10	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り_基礎解説	実質利回りの基礎知識まとめ	権威構築	必須	ピラーページ
139	＋α	太陽光発電 実質利回り	N/A	N/A	削除			検索なし			対象外	不要	
140	＋α	単純利回り 実質利回り	N/A	0	削除			検索なし			対象外	不要	
141	＋α	実質利回り 賃貸	N/A	0	削除			検索なし			対象外	不要	
142	＋α	積立利率 実質利回り 違い	N/A	70	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	実質利回り税率		権威構築	補足	
143	＋α	積立利率 実質利回り 違い 保険	N/A	0	削除			検索なし			対象外	不要	
144	＋α	表面利回り 実質利回り 違い	N/A	50	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	実質利回り_表面vs実質比較	実質利回りと利回りの関係・目安を解説	権威構築	必須	解説記事
145	＋α	予定利率 実質利回り 違い	N/A	30	記事	Know（表面利回りと実質利回りの違いを知りたい）	解説記事	表面vs実質比較	実質利回り税率		権威構築	補足	
146	＋α	noi利回り 実質利回り 違い	N/A	0	削除			検索なし			対象外	不要	
147	＋α	中古マンション 実質利回り	N/A	10	記事	Know（不動産での実質利回りを知りたい）	解説記事	不動産特化	実質利回り_不動産特化	実質利回りと不動産投資の関係を解説	権威構築	必須	解説記事
148	＋α	実質利回り 積立利率	N/A	10	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り税率		権威構築	補足	
149	＋α	積立nisa 実質利回り	N/A	10	記事	Know（金融商品の実質利回りを知りたい）	解説記事	金融商品	実質利回り_金融商品		権威構築	補足	
150	＋α	積立 表面利回り 実質利回り	N/A	0	削除			検索なし			対象外	不要	
151	＋α	外貨建て保険 積立利率 実質利回り	N/A	0	削除			検索なし			対象外	不要	
152	＋α	予定利率 積立利率 実質利回り	N/A	0	削除			検索なし			対象外	不要	
153	＋α	定期預金 実質利回り	N/A	0	削除			検索なし			対象外	不要	
154	＋α	実質利回り 投資信託	N/A	0	削除			検索なし			対象外	不要	
155	＋α	実質利回り 計算 投資	N/A	0	削除			検索なし			対象外	不要	
156	＋α	実質利回り 何	N/A	0	削除			検索なし			対象外	不要	
157	＋α	マンション 賃貸 実質利回り 入居率	N/A	0	削除			検索なし			対象外	不要	
158	＋α	nisa 実質利回り	N/A	0	削除			検索なし			対象外	不要	
159	＋α	日本国債 実質利回り	N/A	0	削除			検索なし			対象外	不要	
160	＋α	実質利回り ネット利回り	N/A	0	削除			検索なし			対象外	不要	
161	＋α	実質利回り ネット	N/A	0	削除			検索なし			対象外	不要	
162	＋α	実質利回り net	N/A	0	削除			検索なし			対象外	不要	
163	＋α	年金 実質利回り	N/A	0	削除			検索なし			対象外	不要	
164	＋α	実質利回り noi利回り	N/A	0	削除			検索なし			対象外	不要	
165	＋α	実質利回り noi	N/A	10	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り_基礎解説	実質利回りの基礎知識まとめ	権威構築	必須	ピラーページ
166	＋α	実質利回り 配当利回り	N/A	0	削除			検索なし			対象外	不要	
167	＋α	実質利回り 不動産投資	N/A	0	削除			検索なし			対象外	不要	
168	＋α	不動産 実質利回り 相場	N/A	70	記事	Know（実質利回りの目安を知りたい）	ガイド記事	目安・相場	実質利回り_目安・相場	実質利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
169	＋α	不動産投資 実質利回り 計算	45	20	計算ページ	Do（実質利回りを計算したい）	計算ツール		実質利回り計算	実質利回りの計算方法・シミュレーション	ツール集客	必須	計算ツール
170	＋α	実質利回り 平均	N/A	0	削除			検索なし			対象外	不要	
171	＋α	実質利回り 返済後利回り	N/A	0	削除			検索なし			対象外	不要	
172	＋α	実質利回り 返済	N/A	0	削除			検索なし			対象外	不要	
173	＋α	不動産投資 実質利回り 平均	N/A	10	記事	Know（実質利回りの目安を知りたい）	ガイド記事	目安・相場	実質利回り_目安・相場	実質利回りの相場はいくら？金額目安一覧	権威構築	必須	解説記事
174	＋α	アパート 実質利回り 平均	N/A	0	削除			検索なし			対象外	不要	
175	＋α	ヘッジファンド 実質利回り	N/A	0	削除			検索なし			対象外	不要	
176	＋α	変額保険 実質利回り	N/A	0	削除			検索なし			対象外	不要	
177	＋α	実質利回り マイナス	N/A	10	記事	Know（実質利回りの損失処理を知りたい）	解説記事	損失・赤字	実質利回り_損失・赤字		権威構築	補足	
178	＋α	実質利回り マンション	N/A	20	記事	Know（不動産での実質利回りを知りたい）	解説記事	不動産特化	実質利回り_不動産特化	実質利回りと不動産投資の関係を解説	権威構築	必須	解説記事
179	＋α	不動産投資 実質利回り マイナス	N/A	0	削除			検索なし			対象外	不要	
180	＋α	マンション投資 実質利回り	52	10	記事	Know（不動産での実質利回りを知りたい）	解説記事	不動産特化	実質利回り_不動産特化	実質利回りと不動産投資の関係を解説	権威構築	必須	解説記事
181	＋α	マンション 実質利回り 計算	N/A	0	削除			検索なし			対象外	不要	
182	＋α	マンション経営 実質利回り	46	10	記事	Know（不動産での実質利回りを知りたい）	解説記事	不動産特化	実質利回り_不動産特化	実質利回りと不動産投資の関係を解説	権威構築	必須	解説記事
183	＋α	マクドナルド 実質利回り	N/A	0	削除			検索なし			対象外	不要	
184	＋α	民泊 実質利回り	N/A	0	削除			検索なし			対象外	不要	
185	＋α	ムーンショット 実質利回り	N/A	0	削除			検索なし			対象外	不要	
186	＋α	実質利回り 名目利回り	N/A	0	削除			検索なし			対象外	不要	
187	＋α	メットライフ 実質利回り	N/A	0	削除			検索なし			対象外	不要	
188	＋α	実質利回り 求め方	N/A	0	削除			検索なし			対象外	不要	
189	＋α	家賃収入 実質利回り	N/A	0	削除			検索なし			対象外	不要	
190	＋α	ユニットリンク 実質利回り	N/A	0	削除			検索なし			対象外	不要	
191	＋α	優待 実質利回り	N/A	0	削除			検索なし			対象外	不要	
192	＋α	実質利回り 読み方	N/A	0	削除			検索なし			対象外	不要	
193	＋α	予定利率 実質利回り	N/A	10	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り税率		権威構築	補足	
194	＋α	予定利率 実質利回り 計算	N/A	0	削除			検索なし			対象外	不要	
195	＋α	吉野家 実質利回り	N/A	0	削除			検索なし			対象外	不要	
196	＋α	実質利回り ランキング	N/A	10	記事	Buy（実質利回り関連のサービスを選びたい）	比較記事	おすすめ・比較	実質利回り_おすすめ・比較		権威構築	補足	
197	＋α	楽天 実質利回り	N/A	0	削除			検索なし			対象外	不要	
198	＋α	楽天グループ 実質利回り	N/A	0	削除			検索なし			対象外	不要	
199	＋α	楽天schd 実質利回り	N/A	0	削除			検索なし			対象外	不要	
200	＋α	楽待 実質利回り	N/A	N/A	削除			検索なし			対象外	不要	
201	＋α	実質利回り 利息	N/A	0	削除			検索なし			対象外	不要	
202	＋α	実質利回り リース	N/A	0	削除			検索なし			対象外	不要	
203	＋α	不動産 利回り 実質利回り	N/A	0	削除			検索なし			対象外	不要	
204	＋α	リノシー 実質利回り	N/A	0	削除			検索なし			対象外	不要	
205	＋α	利回り 実質利回り	N/A	10	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り_基礎解説	実質利回りの基礎知識まとめ	権威構築	必須	ピラーページ
206	＋α	リート 実質利回り	N/A	0	削除			検索なし			対象外	不要	
207	＋α	リタイアメントインカム 実質利回り	N/A	0	削除			検索なし			対象外	不要	
208	＋α	reit 実質利回り	N/A	0	削除			検索なし			対象外	不要	
209	＋α	実質利回り ローン返済	N/A	0	削除			検索なし			対象外	不要	
210	＋α	実質利回り ローン	N/A	0	削除			検索なし			対象外	不要	
211	＋α	実質利回り roi	N/A	0	削除			検索なし			対象外	不要	
212	＋α	実質利回り 計算 ローン	N/A	0	削除			検索なし			対象外	不要	
213	＋α	不動産投資 実質利回り ローン	N/A	0	削除			検索なし			対象外	不要	
214	＋α	不動産 実質利回り ローン	N/A	0	削除			検索なし			対象外	不要	
215	＋α	実質利回り わかりやすく	N/A	0	削除			検索なし			対象外	不要	
216	＋α	ワンルームマンション投資 実質利回り	28	10	記事	Know（不動産での実質利回りを知りたい）	解説記事	不動産特化	実質利回り_不動産特化	実質利回りと不動産投資の関係を解説	権威構築	必須	解説記事
217	＋α	ワンルームマンション 実質利回り	N/A	10	記事	Know（不動産での実質利回りを知りたい）	解説記事	不動産特化	実質利回り_不動産特化	実質利回りと不動産投資の関係を解説	権威構築	必須	解説記事
218	＋α	ワンルーム投資 実質利回り	43	0	削除			検索なし			対象外	不要	
219	＋α	ntt 実質利回り	N/A	0	削除			検索なし			対象外	不要	
220	＋α	実質利回り 外貨保険	N/A	0	削除			検索なし			対象外	不要	
221	＋α	外貨建て保険 実質利回り	N/A	10	記事	Know（保険の実質利回りを知りたい）	解説記事	保険（対象外）	実質利回り_保険（対象外）		権威構築	不要	
222	＋α	外貨預金 実質利回り	N/A	10	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り_基礎解説	実質利回りの基礎知識まとめ	権威構築	必須	ピラーページ
223	＋α	外貨建てmmf 実質利回り	N/A	0	削除			検索なし			対象外	不要	
224	＋α	学資保険 実質利回り	N/A	10	記事	Know（保険の実質利回りを知りたい）	解説記事	保険（対象外）	実質利回り_保険（対象外）		権威構築	不要	
225	＋α	実質利回り 減価償却費	N/A	10	記事	Know（実質利回りの概要を知りたい）	解説記事	基礎解説	実質利回り_基礎解説	実質利回りの基礎知識まとめ	権威構築	必須	ピラーページ
226	＋α	実質利回り 減価償却	N/A	0	削除			検索なし			対象外	不要	
227	＋α	実質利回り 純利回り	N/A	0	削除			検索なし			対象外	不要	
228	＋α	jepq 実質利回り	N/A	0	削除			検索なし			対象外	不要	
229	＋α	じぶんの積立 実質利回り	N/A	0	削除			検索なし			対象外	不要	
230	＋α	実質利回り 税金	N/A	0	削除			検索なし			対象外	不要	
231	＋α	全世界株式 実質利回り	N/A	0	削除			検索なし			対象外	不要	
232	＋α	実質利回り 出し方	N/A	0	削除			検索なし			対象外	不要	
