37	＋＋	譲渡所得税 控除 相続	N/A	10	記事	Know（控除・特例を活用したい）	控除・特例	解説	解説記事	控除・特例	譲渡所得税控除	譲渡所得税の控除・軽減措置まとめ	権威構築	必須	解説記事
38	＋＋	譲渡所得税 控除 確定申告	N/A	0	削除			解説		検索なし			対象外	不要
39	＋＋	譲渡所得税 控除できるもの	N/A	0	削除			解説		検索なし			対象外	不要
40	＋＋	譲渡所得税 控除 3000万円	N/A	10	記事	Know（控除・特例を活用したい）	控除・特例	解説	解説記事	控除・特例	譲渡所得税控除	譲渡所得税の控除・軽減措置まとめ	権威構築	必須	解説記事
41	＋＋	譲渡所得税 控除対象	N/A	10	記事	Know（控除・特例を活用したい）	控除・特例	解説	解説記事	控除・特例	譲渡所得税控除	譲渡所得税の控除・軽減措置まとめ	権威構築	必須	解説記事
42	＋＋	譲渡所得税 控除 土地	N/A	0	削除			解説		検索なし			対象外	不要
43	＋＋	譲渡所得税 相続した不動産	N/A	30	記事	Know（相続不動産の売却税を知りたい）	相続・贈与	解説	解説記事	相続	譲渡所得税_相続		権威構築	補足
44	＋＋	譲渡所得税 相続税	N/A	50	記事	Know（相続不動産の売却税を知りたい）	相続・贈与	解説	解説記事	相続	譲渡所得税_相続		権威構築	補足
45	＋＋	譲渡所得税 相続した土地	43	40	記事	Know（相続不動産の売却税を知りたい）	相続・贈与	解説	解説記事	相続	譲渡所得税_相続		権威構築	補足
46	＋＋	譲渡所得税 相続の場合	N/A	N/A	削除			解説		検索なし			対象外	不要
47	＋＋	譲渡所得税 相続 取得費	40	10	記事	Know（相続不動産の売却税を知りたい）	相続・贈与	解説	解説記事	相続	譲渡所得税_相続		権威構築	補足
48	＋＋	譲渡所得税 相続 所有期間	N/A	0	削除			解説		検索なし			対象外	不要
49	＋＋	譲渡所得税 相続登記費用	N/A	10	記事	Know（相続不動産の売却税を知りたい）	相続・贈与	解説	解説記事	相続	譲渡所得税_相続		権威構築	補足
50	＋＋	譲渡所得税 相続税控除	N/A	10	記事	Know（控除・特例を活用したい）	控除・特例	解説	解説記事	控除・特例	譲渡所得税控除	譲渡所得税の控除・軽減措置まとめ	権威構築	必須	解説記事
51	＋＋	譲渡所得税 相続後	N/A	0	削除			解説		検索なし			対象外	不要
52	＋＋	譲渡所得税 3000万円控除 要件	N/A	10	記事	Know（控除・特例を活用したい）	控除・特例	解説	解説記事	控除・特例	譲渡所得税控除	譲渡所得税の控除・軽減措置まとめ	権威構築	必須	解説記事
53	＋＋	譲渡所得税 3000万円控除 相続	N/A	10	記事	Know（控除・特例を活用したい）	控除・特例	解説	解説記事	控除・特例	譲渡所得税控除	譲渡所得税の控除・軽減措置まとめ	権威構築	必須	解説記事
54	＋＋	譲渡所得税 3000万円控除 離婚	N/A	0	削除			解説		検索なし			対象外	不要
55	＋＋	譲渡所得税 3000万円控除 確定申告	N/A	0	削除			解説		検索なし			対象外	不要
56	＋＋	譲渡所得税 3000万円控除 住宅ローン控除	N/A	0	削除			解説		検索なし			対象外	不要
57	＋＋	不動産 譲渡所得税 いつ払う	46	90	記事	Know（いつ払うか知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	譲渡所得税_支払い時期		権威構築	補足
58	＋＋	不動産売却 譲渡所得税 いつ払う	N/A	0	削除			解説		検索なし			対象外	不要
59	＋＋	譲渡所得税 かからない場合	25	210	記事	Know（税金がかからないケースを知りたい）	具体例	解説	解説記事	非課税ケース	譲渡所得税_非課税ケース		権威構築	補足
60	＋＋	譲渡所得税 かからない 土地	N/A	50	記事	Know（税金がかからないケースを知りたい）	具体例	解説	解説記事	非課税ケース	譲渡所得税_非課税ケース		権威構築	補足
61	＋＋	譲渡所得税 かからない 申告	31	170	記事	Know（税金がかからないケースを知りたい）	確定申告	解説	解説記事	非課税ケース	譲渡所得税申告	譲渡所得税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
62	＋＋	譲渡所得税 かからない 相続	N/A	0	削除			解説		検索なし			対象外	不要
63	＋＋	譲渡所得税 住民税 ふるさと納税	N/A	0	削除			解説		検索なし			対象外	不要
64	＋＋	不動産 譲渡所得税 ふるさと納税	44	70	記事	Know（不動産での譲渡所得税を知りたい）	その他	解説	解説記事	不動産特化	譲渡所得税_不動産特化		権威構築	補足
65	＋＋	譲渡所得税 確定申告 スマホ	N/A	10	記事	Do（確定申告をしたい）	確定申告	実務ガイド	ハウツー記事	確定申告	譲渡所得税申告	譲渡所得税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
66	＋＋	譲渡所得税 確定申告 やり方	N/A	0	削除			解説		検索なし			対象外	不要
67	＋＋	譲渡所得税 確定申告 時期	N/A	10	記事	Do（確定申告をしたい）	確定申告	実務ガイド	ハウツー記事	確定申告	譲渡所得税申告	譲渡所得税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
68	＋＋	譲渡所得税 確定申告書	N/A	10	記事	Do（確定申告をしたい）	確定申告	実務ガイド	ハウツー記事	確定申告	譲渡所得税申告	譲渡所得税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
69	＋＋	譲渡所得税 確定申告 必要書類	N/A	50	記事	Do（確定申告をしたい）	確定申告	実務ガイド	ハウツー記事	確定申告	譲渡所得税申告	譲渡所得税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
70	＋＋	譲渡所得税 確定申告 不要	N/A	10	記事	Do（確定申告をしたい）	確定申告	実務ガイド	ハウツー記事	確定申告	譲渡所得税申告	譲渡所得税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
71	＋＋	譲渡所得税 確定申告 添付書類	N/A	10	記事	Do（確定申告をしたい）	確定申告	実務ガイド	ハウツー記事	確定申告	譲渡所得税申告	譲渡所得税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
72	＋＋	譲渡所得税 確定申告 税理士費用	N/A	0	削除			解説		検索なし			対象外	不要
73	＋＋	譲渡所得税 取得費不明	N/A	70	記事	Know（譲渡所得税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	譲渡所得税_基礎解説	譲渡所得税の基礎知識まとめ	権威構築	必須	ピラーページ
74	＋＋	譲渡所得税 取得費とは	N/A	0	削除			解説		検索なし			対象外	不要
75	＋＋	譲渡所得税 取得費に含まれるもの	N/A	0	削除			解説		検索なし			対象外	不要
76	＋＋	譲渡所得税 取得費 相続	N/A	10	記事	Know（相続不動産の売却税を知りたい）	相続・贈与	解説	解説記事	相続	譲渡所得税_相続		権威構築	補足
77	＋＋	譲渡所得税 取得費 相続登記費用	N/A	0	削除			解説		検索なし			対象外	不要
78	＋＋	譲渡所得税 取得費 計算	N/A	0	削除			解説		検索なし			対象外	不要
79	＋＋	譲渡所得税 取得費用	N/A	10	記事	Know（譲渡所得税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	譲渡所得税_基礎解説	譲渡所得税の基礎知識まとめ	権威構築	必須	ピラーページ
80	＋＋	譲渡所得税 取得費 リフォーム費用	N/A	0	削除			解説		検索なし			対象外	不要
81	＋＋	譲渡所得税 取得費 減価償却	N/A	0	削除			解説		検索なし			対象外	不要
82	＋α	譲渡所得税 0円	N/A	0	削除			解説		検索なし			対象外	不要
83	＋α	譲渡所得税 10年以上	N/A	0	削除			解説		検索なし			対象外	不要
84	＋α	譲渡所得税 10年超	N/A	20	記事	Know（保有期間による税率の違いを知りたい）	時期・スケジュール	解説	解説記事	保有期間	譲渡所得税_保有期間		権威構築	補足
85	＋α	譲渡所得税 14.21	N/A	0	削除			解説		検索なし			対象外	不要
86	＋α	譲渡所得税 1000万円	N/A	0	削除			解説		検索なし			対象外	不要
87	＋α	譲渡所得税 10年	N/A	0	削除			解説		検索なし			対象外	不要
88	＋α	譲渡所得税 100万円	N/A	0	削除			解説		検索なし			対象外	不要
89	＋α	譲渡所得税 20.315	N/A	30	記事	Know（譲渡所得税の具体的条件を知りたい）	具体例	解説	ガイド記事	具体例・ケース	譲渡所得税_具体例・ケース		権威構築	補足
90	＋α	譲渡所得税 20	N/A	0	削除			解説		検索なし			対象外	不要
91	＋α	譲渡所得税 20万円	N/A	0	削除			解説		検索なし			対象外	不要
92	＋α	譲渡所得税 2000万円	N/A	0	削除			解説		検索なし			対象外	不要
93	＋α	譲渡所得税 200万	N/A	0	削除			解説		検索なし			対象外	不要
94	＋α	譲渡所得税 3年以内	N/A	0	削除			解説		検索なし			対象外	不要
95	＋α	譲渡所得税 3000万円	N/A	0	削除			解説		検索なし			対象外	不要
96	＋α	譲渡所得税 3000万円特別控除	N/A	10	記事	Know（控除・特例を活用したい）	控除・特例	解説	解説記事	控除・特例	譲渡所得税控除	譲渡所得税の控除・軽減措置まとめ	権威構築	必須	解説記事
97	＋α	譲渡所得税 3000万円控除 空き家	N/A	0	削除			解説		検索なし			対象外	不要
98	＋α	譲渡所得税 4000万円	N/A	0	削除			解説		検索なし			対象外	不要
99	＋α	譲渡所得税 400万円	N/A	0	削除			解説		検索なし			対象外	不要
100	＋α	譲渡所得税 40	N/A	0	削除			解説		検索なし			対象外	不要
101	＋α	譲渡所得税 5年以内	N/A	0	削除			解説		検索なし			対象外	不要
102	＋α	譲渡所得税 5年	N/A	20	記事	Know（保有期間による税率の違いを知りたい）	時期・スケジュール	解説	解説記事	保有期間	譲渡所得税_保有期間		権威構築	補足
103	＋α	譲渡所得税 5000万円控除	N/A	0	削除			解説		検索なし			対象外	不要
104	＋α	譲渡所得税 5	N/A	10	記事	Know（譲渡所得税の具体例を知りたい）	具体例	解説	ガイド記事	具体例・ケース	譲渡所得税_具体例・ケース		権威構築	補足
105	＋α	譲渡所得税 50万円	N/A	0	削除			解説		検索なし			対象外	不要
106	＋α	譲渡所得税 5000万円	N/A	0	削除			解説		検索なし			対象外	不要
107	＋α	譲渡所得税 6000万円	N/A	0	削除			解説		検索なし			対象外	不要
108	＋α	譲渡所得税 600万円	N/A	0	削除			解説		検索なし			対象外	不要
109	＋α	800万 譲渡所得税	N/A	N/A	削除			解説		検索なし			対象外	不要
110	＋α	譲渡所得税 空き家特例	38	40	記事	Know（控除・特例を活用したい）	控除・特例	解説	解説記事	控除・特例	譲渡所得税_控除・特例		権威構築	補足
111	＋α	譲渡所得税 空き家	N/A	10	記事	Know（空き家の譲渡所得税を知りたい）	空き家	解説	解説記事	空き家	譲渡所得税_空き家		権威構築	補足
112	＋α	譲渡所得税 アパート	N/A	0	削除			解説		検索なし			対象外	不要
113	＋α	譲渡所得税 啓さん	N/A	0	削除			解説		検索なし			対象外	不要
114	＋α	譲渡所得税 赤字	N/A	0	削除			解説		検索なし			対象外	不要
115	＋α	譲渡所得税 圧縮	N/A	0	削除			解説		検索なし			対象外	不要
116	＋α	譲渡所得税 あらまし	N/A	0	削除			解説		検索なし			対象外	不要
117	＋α	譲渡所得税 いくらから	N/A	30	記事	Know（税率を確認したい）	計算方法	解説	ガイド記事	税率	譲渡所得税計算	譲渡所得税の計算方法・シミュレーション	権威構築	必須	計算ツール
118	＋α	譲渡所得税 いくら	N/A	30	記事	Know（税率を確認したい）	計算方法	解説	ガイド記事	税率	譲渡所得税計算	譲渡所得税の計算方法・シミュレーション	権威構築	必須	計算ツール
119	＋α	譲渡所得税 いつ	N/A	10	記事	Know（譲渡所得税の時期を知りたい）	時期・スケジュール	解説	ガイド記事	時期・スケジュール	譲渡所得税_時期・スケジュール		権威構築	補足
120	＋α	譲渡所得税 遺産分割	N/A	0	削除			解説		検索なし			対象外	不要
121	＋α	譲渡所得税 医療費控除	N/A	10	記事	Know（控除・特例を活用したい）	控除・特例	解説	解説記事	控除・特例	譲渡所得税控除	譲渡所得税の控除・軽減措置まとめ	権威構築	必須	解説記事
122	＋α	譲渡所得税 いつ来る	N/A	0	削除			解説		検索なし			対象外	不要
123	＋α	譲渡所得税 内訳	N/A	20	記事	Know（譲渡所得税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	譲渡所得税_基礎解説	譲渡所得税の基礎知識まとめ	権威構築	必須	ピラーページ
124	＋α	譲渡所得税 内訳書	N/A	10	記事	Know（譲渡所得税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	譲渡所得税_基礎解説	譲渡所得税の基礎知識まとめ	権威構築	必須	ピラーページ
125	＋α	譲渡所得税 e-tax	N/A	20	記事	Do（譲渡所得税の電子手続き・支払方法を知りたい）	手続き・対策	ハウツー	ガイド記事	支払い方法	譲渡所得税_支払い方法		権威構築	補足
126	＋α	譲渡所得税 英語	N/A	0	削除			解説		検索なし			対象外	不要
127	＋α	譲渡所得税 延滞税	N/A	0	削除			解説		検索なし			対象外	不要
128	＋α	譲渡所得税 延納	N/A	0	削除			解説		検索なし			対象外	不要
129	＋α	譲渡所得税 計算 エクセル	N/A	10	計算ページ	Do（譲渡所得税を計算したい）	計算方法	実務ガイド	計算ツール		譲渡所得税計算	譲渡所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
130	＋α	譲渡所得税 確定申告 e-tax	N/A	N/A	削除			解説		検索なし			対象外	不要
131	＋α	譲渡所得税 親子	N/A	0	削除			解説		検索なし			対象外	不要
132	＋α	譲渡所得税 お尋ね	N/A	0	削除			解説		検索なし			対象外	不要
133	＋α	譲渡所得税 納め方	N/A	0	削除			解説		検索なし			対象外	不要
134	＋α	譲渡所得税 納期限	N/A	0	削除			解説		検索なし			対象外	不要
135	＋α	譲渡所得税 オーバーローン	N/A	N/A	削除			解説		検索なし			対象外	不要
136	＋α	宅建 譲渡所得税 覚え方	N/A	10	記事	Know（譲渡所得税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	譲渡所得税_基礎解説	譲渡所得税の基礎知識まとめ	権威構築	必須	ピラーページ
137	＋α	オーナーチェンジ 譲渡所得税	N/A	0	削除			解説		検索なし			対象外	不要
138	＋α	譲渡所得税 株式	N/A	90	記事	Know（金融商品の譲渡所得税を知りたい）	売却	解説	解説記事	金融商品	譲渡所得税_金融商品		権威構築	補足
139	＋α	譲渡所得税 換価分割	N/A	10	記事	Do（譲渡所得税の延納・分割を知りたい）	支払い方法	解説	ハウツー記事	延納・分割	譲渡所得税_延納・分割		権威構築	補足
140	＋α	譲渡所得税 買い替え特例	N/A	20	記事	Know（控除・特例を活用したい）	控除・特例	解説	解説記事	控除・特例	譲渡所得税_控除・特例		権威構築	補足
141	＋α	譲渡所得税 解体費用	N/A	20	記事	Know（空き家の譲渡所得税を知りたい）	空き家	解説	解説記事	空き家	譲渡所得税_空き家		権威構築	補足
142	＋α	譲渡所得税 株式 相続	N/A	0	削除			解説		検索なし			対象外	不要
143	＋α	譲渡所得税 何税	N/A	0	削除			解説		検索なし			対象外	不要
144	＋α	譲渡所得税 管轄	N/A	0	削除			解説		検索なし			対象外	不要
145	＋α	譲渡所得税 金	48	320	記事	Know（譲渡所得税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	譲渡所得税_基礎解説	譲渡所得税の基礎知識まとめ	権威構築	必須	ピラーページ
146	＋α	譲渡所得税 基礎控除	N/A	30	記事	Know（控除・特例を活用したい）	基礎知識	網羅ガイド	解説記事	控除・特例	譲渡所得税基礎解説	譲渡所得税とは？仕組み・意味をわかりやすく解説	権威構築	必須	ピラーページ
147	＋α	譲渡所得税 金 税率	N/A	0	削除			解説		検索なし			対象外	不要
148	＋α	譲渡所得税 貴金属	N/A	0	削除			解説		検索なし			対象外	不要
149	＋α	譲渡所得税 居住用財産	N/A	20	記事	Know（譲渡所得税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	譲渡所得税_基礎解説	譲渡所得税の基礎知識まとめ	権威構築	必須	ピラーページ
150	＋α	譲渡所得税 居住用	N/A	10	記事	Know（譲渡所得税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	譲渡所得税_基礎解説	譲渡所得税の基礎知識まとめ	権威構築	必須	ピラーページ
151	＋α	譲渡所得税 期限	N/A	10	記事	Know（譲渡所得税の時期を知りたい）	時期・スケジュール	解説	ガイド記事	時期・スケジュール	譲渡所得税_時期・スケジュール		権威構築	補足
152	＋α	譲渡所得税 起算日	N/A	0	削除			解説		検索なし			対象外	不要
153	＋α	譲渡所得税 期間	N/A	0	削除			解説		検索なし			対象外	不要
154	＋α	譲渡所得税 金地金	N/A	0	削除			解説		検索なし			対象外	不要
155	＋α	譲渡所得税 クレジットカード	N/A	10	記事	Do（譲渡所得税の電子手続き・支払方法を知りたい）	手続き・対策	ハウツー	ガイド記事	支払い方法	譲渡所得税_支払い方法		権威構築	補足
156	＋α	譲渡所得税 車	N/A	20	記事	Know（車の譲渡所得税を知りたい）	その他	解説	解説記事	車・動産	譲渡所得税_車・動産		権威構築	補足
157	＋α	譲渡所得税 繰り延べ	N/A	0	削除			解説		検索なし			対象外	不要
158	＋α	譲渡所得税 計算 車	N/A	10	計算ページ	Do（譲渡所得税を計算したい）	計算方法	実務ガイド	計算ツール		譲渡所得税計算	譲渡所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
159	＋α	車 譲渡所得税 計算 シュミレーション	N/A	0	削除			解説		検索なし			対象外	不要
160	＋α	譲渡所得税 経費	N/A	40	記事	Do（譲渡所得税の会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	譲渡所得税_会計処理		権威構築	補足
161	＋α	譲渡所得税 軽減税率	N/A	20	記事	Know（税率を確認したい）	控除・特例	解説	ガイド記事	税率	譲渡所得税控除	譲渡所得税の控除・軽減措置まとめ	権威構築	必須	解説記事
162	＋α	譲渡所得税 国税	N/A	40	記事	Know（譲渡所得税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	譲渡所得税_基礎解説	譲渡所得税の基礎知識まとめ	権威構築	必須	ピラーページ
163	＋α	譲渡所得税 国税庁	N/A	N/A	削除			解説		検索なし			対象外	不要
164	＋α	譲渡所得税 購入金額不明	N/A	0	削除			解説		検索なし			対象外	不要
165	＋α	譲渡所得税 国税 地方税	N/A	0	削除			解説		検索なし			対象外	不要
166	＋α	譲渡所得税 国民健康保険	N/A	0	削除			解説		検索なし			対象外	不要
167	＋α	譲渡所得税 申告	46	170	記事	Do（確定申告をしたい）	確定申告	実務ガイド	ハウツー記事	確定申告	譲渡所得税申告	譲渡所得税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
168	＋α	譲渡所得税 申告時期	N/A	40	記事	Do（確定申告をしたい）	確定申告	実務ガイド	ハウツー記事	確定申告	譲渡所得税申告	譲渡所得税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
169	＋α	譲渡所得税 支払い方法	30	90	記事	Know（いつ払うか知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	譲渡所得税_支払い時期		権威構築	補足
170	＋α	譲渡所得税 申告 必要書類	N/A	50	記事	Do（確定申告をしたい）	確定申告	実務ガイド	ハウツー記事	確定申告	譲渡所得税申告	譲渡所得税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
171	＋α	譲渡所得税 申告不要	N/A	30	記事	Do（確定申告をしたい）	確定申告	実務ガイド	ハウツー記事	確定申告	譲渡所得税申告	譲渡所得税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
172	＋α	譲渡所得税 支払い時期	N/A	40	記事	Know（いつ払うか知りたい）	時期・スケジュール	解説	ガイド記事	支払い時期	譲渡所得税_支払い時期		権威構築	補足
173	＋α	譲渡所得税 申告書	N/A	30	記事	Do（確定申告をしたい）	確定申告	実務ガイド	ハウツー記事	確定申告	譲渡所得税申告	譲渡所得税の確定申告・届出の方法と必要書類	権威構築	必須	解説記事
174	＋α	譲渡所得税 シュミレーション	N/A	70	計算ページ	Do（譲渡所得税を計算したい）	計算方法	実務ガイド	計算ツール		譲渡所得税計算	譲渡所得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
175	＋α	譲渡所得税 住み替え	N/A	0	削除			解説		検索なし			対象外	不要
176	＋α	譲渡所得税 住んでいない	N/A	0	削除			解説		検索なし			対象外	不要
177	＋α	譲渡所得税 節税	N/A	30	記事	Do（譲渡所得税の手続き・対策を知りたい）	手続き・対策	ハウツー	ハウツー記事	手続き・対策	譲渡所得税_手続き・対策		権威構築	補足
178	＋α	譲渡所得税 請求	N/A	0	削除			解説		検索なし			対象外	不要
179	＋α	譲渡所得税 生活保護	N/A	0	削除			解説		検索なし			対象外	不要
180	＋α	譲渡所得税 生前贈与	N/A	0	削除			解説		検索なし			対象外	不要
181	＋α	不動産 譲渡所得税 節税	N/A	10	記事	Do（譲渡所得税の手続き・対策を知りたい）	手続き・対策	ハウツー	ハウツー記事	手続き・対策	譲渡所得税_手続き・対策		権威構築	補足
182	＋α	清算型遺贈 譲渡所得税	20	70	記事	Know（譲渡所得税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	譲渡所得税_基礎解説	譲渡所得税の基礎知識まとめ	権威構築	必須	ピラーページ
183	＋α	セカンドハウス 譲渡所得税	N/A	0	削除			解説		検索なし			対象外	不要
184	＋α	譲渡所得税 相談窓口	N/A	30	記事	Know（譲渡所得税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	譲渡所得税_基礎解説	譲渡所得税の基礎知識まとめ	権威構築	必須	ピラーページ
