No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
50	＋＋	不動産取得税 かからない 中古マンション	47	50	記事	Know（取得税がかからないケースを知りたい）	解説記事	非課税ケース	不動産取得税_非課税ケース		権威構築	補足	
51	＋＋	不動産取得税 かからない 新築	45	10	記事	Know（取得税がかからないケースを知りたい）	解説記事	非課税ケース	不動産取得税_非課税ケース		権威構築	補足	
52	＋＋	不動産取得税 かからない マンション	45	0	削除			検索なし			対象外	不要	
53	＋＋	不動産取得税 かからない 相続	N/A	0	削除			検索なし			対象外	不要	
54	＋＋	不動産取得税 かからない 市町村	43	70	記事	Know（取得税がかからないケースを知りたい）	解説記事	非課税ケース	不動産取得税_非課税ケース		権威構築	補足	
55	＋＋	不動産取得税 いつ来る	27	480	記事	Know（いつ届くか・いつ払うか知りたい）	ガイド記事	支払い時期	不動産取得税_支払い時期	不動産取得税はいつ払う？支払い時期と方法	権威構築	必須	解説記事
56	＋＋	不動産取得税 いつから始まった	32	70	記事	Know（いつ届くか・いつ払うか知りたい）	ガイド記事	支払い時期	不動産取得税_支払い時期	不動産取得税はいつ払う？支払い時期と方法	権威構築	必須	解説記事
57	＋＋	不動産取得税 いつ届く	N/A	90	記事	Know（いつ届くか・いつ払うか知りたい）	ガイド記事	支払い時期	不動産取得税_支払い時期	不動産取得税はいつ払う？支払い時期と方法	権威構築	必須	解説記事
58	＋＋	不動産取得税 いつかかる	N/A	30	記事	Know（いつ届くか・いつ払うか知りたい）	ガイド記事	支払い時期	不動産取得税_支払い時期	不動産取得税はいつ払う？支払い時期と方法	権威構築	必須	解説記事
59	＋＋	不動産取得税 いつから	N/A	40	記事	Know（いつ届くか・いつ払うか知りたい）	ガイド記事	支払い時期	不動産取得税_支払い時期	不動産取得税はいつ払う？支払い時期と方法	権威構築	必須	解説記事
60	＋＋	不動産取得税 いつまで	48	50	記事	Know（いつ届くか・いつ払うか知りたい）	ガイド記事	支払い時期	不動産取得税_支払い時期	不動産取得税はいつ払う？支払い時期と方法	権威構築	必須	解説記事
61	＋＋	不動産取得税 還付 新築	28	480	記事	Do（還付手続き・申告をしたい）	ハウツー記事	申告・手続き	不動産取得税_申告・手続き		権威構築	補足	
62	＋＋	不動産取得税 還付申請	N/A	140	記事	Do（還付手続き・申告をしたい）	ハウツー記事	申告・手続き	不動産取得税_申告・手続き		権威構築	補足	
63	＋＋	不動産取得税 還付 必要書類	40	170	記事	Do（還付手続き・申告をしたい）	ハウツー記事	申告・手続き	不動産取得税_申告・手続き		権威構築	補足	
64	＋＋	不動産取得税 還付 北海道	44	70	削除			地域KW			対象外	不要	
65	＋＋	不動産取得税 還付 期限	30	70	記事	Do（還付手続き・申告をしたい）	ハウツー記事	申告・手続き	不動産取得税_申告・手続き		権威構築	補足	
66	＋＋	不動産取得税 還付 いくら	N/A	70	記事	Do（還付手続き・申告をしたい）	ハウツー記事	申告・手続き	不動産取得税計算	不動産取得税の計算方法・シミュレーション	権威構築	必須	計算ツール
67	＋＋	不動産取得税 還付金	N/A	50	記事	Do（還付手続き・申告をしたい）	ハウツー記事	申告・手続き	不動産取得税_申告・手続き		権威構築	補足	
68	＋＋	不動産取得税 還付 不動産業者	28	70	記事	Do（還付手続き・申告をしたい）	ハウツー記事	申告・手続き	不動産取得税_申告・手続き		権威構築	補足	
69	＋＋	不動産取得税 還付金 計算	46	90	計算ページ	Do（不動産取得税を計算したい）	計算ツール		不動産取得税計算	不動産取得税の計算方法・シミュレーション	ツール集客	必須	計算ツール
70	＋＋	不動産取得税 確定申告 控除	N/A	70	記事	Do（還付手続き・申告をしたい）	ハウツー記事	申告・手続き	不動産取得税申告		権威構築	補足	
71	＋＋	不動産取得税 確定申告 経費	N/A	110	記事	Do（還付手続き・申告をしたい）	ハウツー記事	申告・手続き	不動産取得税申告		権威構築	補足	
72	＋＋	不動産取得税 確定申告 やり方	N/A	90	記事	Do（還付手続き・申告をしたい）	ハウツー記事	申告・手続き	不動産取得税申告		権威構築	補足	
73	＋＋	不動産取得税 確定申告 還付	N/A	90	記事	Do（還付手続き・申告をしたい）	ハウツー記事	申告・手続き	不動産取得税申告		権威構築	補足	
74	＋＋	不動産取得税 確定申告 いつ	N/A	10	記事	Know（いつ届くか・いつ払うか知りたい）	ガイド記事	支払い時期	不動産取得税申告		権威構築	補足	
75	＋＋	不動産取得税 確定申告 個人	N/A	90	記事	Do（還付手続き・申告をしたい）	ハウツー記事	申告・手続き	不動産取得税申告		権威構築	補足	
76	＋＋	不動産取得税 確定申告 領収書	N/A	10	記事	Do（還付手続き・申告をしたい）	ハウツー記事	申告・手続き	不動産取得税申告		権威構築	補足	
77	＋＋	不動産取得税 確定申告 必要書類	N/A	30	記事	Do（還付手続き・申告をしたい）	ハウツー記事	申告・手続き	不動産取得税申告		権威構築	補足	
78	＋＋	不動産取得税 軽減措置 手続き いつまで	N/A	170	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
79	＋＋	不動産取得税 軽減措置 手続き 神奈川県	43	50	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
80	＋＋	不動産取得税 軽減措置 手続き 静岡県	N/A	20	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
81	＋＋	不動産取得税 軽減措置 手続き 愛知県	N/A	10	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
82	＋＋	不動産取得税 軽減措置 手続き 司法書士	47	20	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
83	＋＋	不動産取得税 軽減措置 手続き 代理人	N/A	0	削除			検索なし			対象外	不要	
84	＋＋	不動産取得税 軽減措置 手続き どこ	29	390	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
85	＋＋	不動産取得税 軽減措置 手続き 北海道	N/A	10	記事	Know（軽減措置・特例を確認したい）	解説記事	軽減措置	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
86	＋＋	不動産取得税 税率 土地	N/A	20	記事	Know（税率・税額を知りたい）	ガイド記事	税率・金額	不動産取得税税率		権威構築	補足	
87	＋＋	不動産取得税 税率 2025	N/A	10	記事	Know（税率・税額を知りたい）	ガイド記事	税率・金額	不動産取得税税率		権威構築	補足	
88	＋＋	不動産取得税 税率 建物	N/A	10	記事	Know（税率・税額を知りたい）	ガイド記事	税率・金額	不動産取得税税率		権威構築	補足	
89	＋＋	不動産取得税 税率 贈与	N/A	10	記事	Know（税率・税額を知りたい）	ガイド記事	税率・金額	不動産取得税税率		権威構築	補足	
90	＋＋	不動産取得税 税率 法人	N/A	10	記事	Know（税率・税額を知りたい）	ガイド記事	税率・金額	不動産取得税税率		権威構築	補足	
91	＋＋	不動産取得税 税率 宅建	N/A	10	記事	Know（税率・税額を知りたい）	ガイド記事	税率・金額	不動産取得税税率		権威構築	補足	
92	＋＋	不動産取得税 税率 軽減	N/A	0	削除			検索なし			対象外	不要	
93	＋＋	不動産取得税 税率 推移	N/A	10	記事	Know（税率・税額を知りたい）	ガイド記事	税率・金額	不動産取得税税率		権威構築	補足	
94	＋＋	不動産取得税 いくら 新築	N/A	90	記事	Know（税率・税額を知りたい）	ガイド記事	税率・金額	不動産取得税計算	不動産取得税の計算方法・シミュレーション	権威構築	必須	計算ツール
95	＋＋	不動産取得税 いくらから	N/A	20	記事	Know（税率・税額を知りたい）	ガイド記事	税率・金額	不動産取得税計算	不動産取得税の計算方法・シミュレーション	権威構築	必須	計算ツール
96	＋＋	不動産取得税 いくら返ってくる	N/A	10	記事	Know（税率・税額を知りたい）	ガイド記事	税率・金額	不動産取得税計算	不動産取得税の計算方法・シミュレーション	権威構築	必須	計算ツール
97	＋＋	不動産取得税 いくら払った 知恵袋	38	480	削除			QAサイト			対象外	不要	
98	＋＋	不動産取得税 いくらだった	N/A	10	記事	Know（税率・税額を知りたい）	ガイド記事	税率・金額	不動産取得税計算	不動産取得税の計算方法・シミュレーション	権威構築	必須	計算ツール
99	＋＋	不動産取得税 いくら払った	30	1000	記事	Know（税率・税額を知りたい）	ガイド記事	税率・金額	不動産取得税計算	不動産取得税の計算方法・シミュレーション	権威構築	必須	計算ツール
100	＋＋	不動産取得税 いくら 中古マンション	N/A	10	記事	Know（税率・税額を知りたい）	ガイド記事	税率・金額	不動産取得税計算	不動産取得税の計算方法・シミュレーション	権威構築	必須	計算ツール
101	＋＋	不動産取得税 いくら払う	N/A	N/A	削除			検索なし			対象外	不要	
102	＋＋	不動産取得税 いくら 知恵袋	N/A	0	削除			検索なし			対象外	不要	
103	＋α	不動産取得税 0円	N/A	70	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
104	＋α	不動産取得税 0円になる	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
105	＋α	不動産取得税 0円になる 土地	N/A	0	削除			検索なし			対象外	不要	
106	＋α	不動産取得税 0	N/A	10	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
107	＋α	不動産取得税 0円 中古住宅	N/A	0	削除			検索なし			対象外	不要	
108	＋α	不動産取得税 0になる	N/A	0	削除			検索なし			対象外	不要	
109	＋α	不動産取得税 1200万円控除	N/A	90	記事	Know（不動産取得税の控除・軽減を知りたい）	解説記事	控除・特例	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
110	＋α	不動産取得税 1回だけ	N/A	50	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
111	＋α	不動産取得税 1000万円	N/A	40	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
112	＋α	不動産取得税 1/2	N/A	30	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
113	＋α	不動産取得税 1年後	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
114	＋α	不動産取得税 1500万	N/A	0	削除			検索なし			対象外	不要	
115	＋α	不動産取得税 1億円	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
116	＋α	不動産取得税 1200万	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
117	＋α	不動産取得税 100万円	N/A	0	削除			検索なし			対象外	不要	
118	＋α	不動産取得税 10万	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
119	＋α	不動産取得税 2回来た	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
120	＋α	不動産取得税 2000万	N/A	30	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
121	＋α	不動産取得税 2通	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
122	＋α	不動産取得税 2枚	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
123	＋α	不動産取得税 2分の1	N/A	30	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
124	＋α	不動産取得税 2500万	N/A	0	削除			検索なし			対象外	不要	
125	＋α	不動産取得税 20万	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
126	＋α	不動産取得税 2025	N/A	20	記事	Know（不動産取得税の改正内容を知りたい）	解説記事	法改正	不動産取得税_法改正		権威構築	補足	
127	＋α	不動産取得税 2年後	N/A	0	削除			検索なし			対象外	不要	
128	＋α	不動産取得税 200平米	N/A	0	削除			検索なし			対象外	不要	
129	＋α	不動産取得税 3000万円	N/A	40	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
130	＋α	不動産取得税 3	N/A	40	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
131	＋α	不動産取得税 3000万円控除	N/A	20	記事	Know（不動産取得税の控除・軽減を知りたい）	解説記事	控除・特例	不動産取得税控除	不動産取得税の控除・軽減措置まとめ	権威構築	必須	解説記事
132	＋α	不動産取得税 3500万	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
133	＋α	不動産取得税 30万	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
134	＋α	不動産取得税 3年以内	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
135	＋α	不動産取得税 3000万の家	N/A	10	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
136	＋α	不動産取得税 3年	N/A	10	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
137	＋α	不動産取得税 30日以内	N/A	0	削除			検索なし			対象外	不要	
138	＋α	不動産取得税 3 4	N/A	10	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
139	＋α	不動産取得税 4000万円	N/A	30	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
140	＋α	不動産取得税 4パーセント	N/A	30	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
141	＋α	不動産取得税 40m2	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
142	＋α	不動産取得税 40平米	N/A	30	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
143	＋α	不動産取得税 4	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
144	＋α	不動産取得税 40平米以上	N/A	0	削除			検索なし			対象外	不要	
145	＋α	不動産取得税 4500万	N/A	0	削除			検索なし			対象外	不要	
146	＋α	不動産取得税 45000円	N/A	0	削除			検索なし			対象外	不要	
147	＋α	不動産取得税 40坪	N/A	0	削除			検索なし			対象外	不要	
148	＋α	不動産取得税 40m2未満	N/A	0	削除			検索なし			対象外	不要	
149	＋α	不動産取得税 5000万円	N/A	40	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
150	＋α	不動産取得税 50m2未満	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
151	＋α	不動産取得税 5年以内	N/A	30	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
152	＋α	不動産取得税 500万	N/A	0	削除			検索なし			対象外	不要	
153	＋α	不動産取得税 50平米以下	N/A	30	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
154	＋α	不動産取得税 5年	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
155	＋α	不動産取得税 5年経過	N/A	0	削除			検索なし			対象外	不要	
156	＋α	不動産取得税 50m2	N/A	0	削除			検索なし			対象外	不要	
157	＋α	不動産取得税 50万	N/A	0	削除			検索なし			対象外	不要	
158	＋α	不動産取得税 5500万円	N/A	0	削除			検索なし			対象外	不要	
159	＋α	不動産取得税 60日 過ぎた	N/A	40	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
160	＋α	不動産取得税 60日以内	N/A	20	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
161	＋α	不動産取得税 6ヶ月	N/A	10	記事	Know（不動産での不動産取得税を知りたい）	解説記事	不動産特化	不動産取得税_不動産特化	不動産取得税と不動産投資の関係を解説	権威構築	必須	解説記事
162	＋α	不動産取得税 6000万円	N/A	0	削除			検索なし			対象外	不要	
163	＋α	不動産取得税 60万	N/A	N/A	削除			検索なし			対象外	不要	
164	＋α	不動産取得税 600万	N/A	0	削除			検索なし			対象外	不要	
