No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック	ページグループ	想定ページタイトル	観点	トピカル貢献	ページ役割
32	＋＋	繰り上げ返済 手数料 なぜ	33	140	記事	Know（繰り上げ返済の手数料を知りたい）	ガイド記事	手数料	繰上返済_手数料		権威構築	補足	
33	＋＋	繰り上げ返済 手数料 りそな	N/A	40	記事	Know（繰り上げ返済の手数料を知りたい）	ガイド記事	手数料	繰上返済_手数料		権威構築	補足	
34	＋＋	繰り上げ返済 手数料 ろうきん	N/A	20	記事	Know（繰り上げ返済の手数料を知りたい）	ガイド記事	手数料	繰上返済_手数料		権威構築	補足	
35	＋＋	繰り上げ返済 手数料 ja	N/A	50	記事	Know（繰り上げ返済の手数料を知りたい）	ガイド記事	手数料	繰上返済_手数料		権威構築	補足	
36	＋＋	繰り上げ返済 手数料 三井住友	N/A	50	記事	Know（繰り上げ返済の手数料を知りたい）	ガイド記事	手数料	繰上返済_手数料		権威構築	補足	
37	＋＋	繰り上げ返済 手数料 三井住友信託	N/A	10	記事	Know（繰り上げ返済の手数料を知りたい）	ガイド記事	手数料	繰上返済_手数料		権威構築	補足	
38	＋＋	繰り上げ返済 手数料 ufj	N/A	20	記事	Know（繰り上げ返済の手数料を知りたい）	ガイド記事	手数料	繰上返済_手数料		権威構築	補足	
39	＋＋	繰上返済 手数料	N/A	70	記事	Know（繰り上げ返済の手数料を知りたい）	ガイド記事	手数料	繰上返済_手数料		権威構築	補足	
40	＋＋	繰り上げ返済 メリットとデメリット	N/A	0	削除			検索なし			対象外	不要	
41	＋＋	繰り上げ返済 メリット 車	N/A	20	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
42	＋＋	繰り上げ返済 メリット 計算	N/A	10	計算ページ	Do（繰り上げ返済をシミュレーションしたい）	計算ツール		繰上返済計算	繰上返済の計算方法・シミュレーション	ツール集客	必須	計算ツール
43	＋＋	繰り上げ返済 メリット 奨学金	N/A	0	削除			検索なし			対象外	不要	
44	＋＋	繰り上げ返済 メリット クレカ	N/A	0	削除			検索なし			対象外	不要	
45	＋＋	繰上げ返済 メリット	59	1000	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
46	＋＋	繰り上げ返済 タイミング 住宅ローン減税	N/A	10	記事	Know（繰り上げ返済の最適なタイミングを知りたい）	ガイド記事	タイミング	繰上返済控除	繰上返済の控除・軽減措置まとめ	権威構築	必須	解説記事
47	＋＋	繰り上げ返済 タイミング 金利	N/A	10	記事	Know（繰り上げ返済の最適なタイミングを知りたい）	ガイド記事	タイミング	繰上返済_タイミング		権威構築	補足	
48	＋＋	繰り上げ返済 タイミング 月	N/A	10	記事	Know（繰り上げ返済の最適なタイミングを知りたい）	ガイド記事	タイミング	繰上返済_タイミング		権威構築	補足	
49	＋＋	繰り上げ返済 タイミング 年末調整	N/A	10	記事	Know（繰り上げ返済の最適なタイミングを知りたい）	ガイド記事	タイミング	繰上返済_タイミング		権威構築	補足	
50	＋＋	繰上げ返済 タイミング	33	720	記事	Know（繰り上げ返済の最適なタイミングを知りたい）	ガイド記事	タイミング	繰上返済_タイミング		権威構築	補足	
51	＋＋	繰り上げ返済 後悔 知恵袋	N/A	50	削除			QAサイト			対象外	不要	
52	＋＋	繰上げ返済 後悔	N/A	0	削除			検索なし			対象外	不要	
53	＋＋	住宅ローン 繰り上げ返済 後悔	N/A	10	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
54	＋＋	奨学金 繰り上げ返済 後悔	N/A	0	削除			検索なし			対象外	不要	
55	＋＋	繰り上げ返済 デメリット 車	N/A	10	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
56	＋＋	繰り上げ返済 デメリット 団信	N/A	0	削除			検索なし			対象外	不要	
57	＋＋	繰り上げ返済 デメリット クレカ	N/A	0	削除			検索なし			対象外	不要	
58	＋＋	繰上返済 デメリット	N/A	10	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
59	＋＋	奨学金 繰り上げ返済 デメリット	37	480	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
60	＋＋	楽天カード 繰り上げ返済 デメリット	51	390	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
61	＋＋	住宅ローン 繰り上げ返済 デメリット	47	390	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
62	＋＋	jcb 繰り上げ返済 デメリット	N/A	0	削除			検索なし			対象外	不要	
63	＋＋	日本政策金融公庫 教育ローン 繰り上げ返済 デメリット	32	170	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
64	＋＋	繰り上げ返済 住宅ローン控除後	N/A	0	削除			検索なし			対象外	不要	
65	＋＋	繰り上げ返済 住宅ローン控除 どっち	N/A	10	記事	Know（期間短縮と返済額軽減の違いを知りたい）	解説記事	方式比較	繰上返済控除	繰上返済の控除・軽減措置まとめ	権威構築	必須	解説記事
66	＋＋	繰り上げ返済 住宅ローン控除 シミュレーション	33	260	計算ページ	Do（繰り上げ返済をシミュレーションしたい）	計算ツール		繰上返済計算	繰上返済の計算方法・シミュレーション	ツール集客	必須	計算ツール
67	＋＋	繰り上げ返済 住宅ローン控除 タイミング	N/A	0	削除			検索なし			対象外	不要	
68	＋＋	繰上げ返済 住宅ローン控除	59	10	記事	Know（住宅ローンの繰り上げ返済を知りたい）	解説記事	住宅ローン	繰上返済控除	繰上返済の控除・軽減措置まとめ	権威構築	必須	解説記事
69	＋＋	繰り上げ返済 期間短縮型	N/A	20	記事	Know（期間短縮と返済額軽減の違いを知りたい）	解説記事	方式比較	繰上返済_方式比較		権威構築	補足	
70	＋＋	繰り上げ返済 期間短縮 計算式	N/A	0	削除			検索なし			対象外	不要	
71	＋＋	繰り上げ返済 期間短縮 返済額軽減	48	210	記事	Know（期間短縮と返済額軽減の違いを知りたい）	解説記事	方式比較	繰上返済控除	繰上返済の控除・軽減措置まとめ	権威構築	必須	解説記事
72	＋＋	繰り上げ返済 期間短縮 返済額軽減 どっち	N/A	140	記事	Know（期間短縮と返済額軽減の違いを知りたい）	解説記事	方式比較	繰上返済控除	繰上返済の控除・軽減措置まとめ	権威構築	必須	解説記事
73	＋＋	繰り上げ返済 期間短縮 シミュレーション	N/A	90	計算ページ	Do（繰り上げ返済をシミュレーションしたい）	計算ツール		繰上返済計算	繰上返済の計算方法・シミュレーション	ツール集客	必須	計算ツール
74	＋＋	繰り上げ返済 期間短縮 返済額軽減 併用	N/A	10	記事	Know（期間短縮と返済額軽減の違いを知りたい）	解説記事	方式比較	繰上返済控除	繰上返済の控除・軽減措置まとめ	権威構築	必須	解説記事
75	＋＋	繰り上げ返済 期間短縮型 返済額軽減型	N/A	10	記事	Know（期間短縮と返済額軽減の違いを知りたい）	解説記事	方式比較	繰上返済控除	繰上返済の控除・軽減措置まとめ	権威構築	必須	解説記事
76	＋＋	繰り上げ返済 期間短縮 減らない	N/A	0	削除			検索なし			対象外	不要	
77	＋＋	繰上げ返済 期間短縮	33	260	記事	Know（期間短縮と返済額軽減の違いを知りたい）	解説記事	方式比較	繰上返済_方式比較		権威構築	補足	
78	＋＋	繰り上げ返済 奨学金 方法	N/A	0	削除			検索なし			対象外	不要	
79	＋＋	繰り上げ返済 奨学金 メリット	N/A	10	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
80	＋＋	繰り上げ返済 奨学金 利子	N/A	0	削除			検索なし			対象外	不要	
81	＋＋	繰り上げ返済 奨学金 手数料	N/A	0	削除			検索なし			対象外	不要	
82	＋＋	繰り上げ返済 奨学金 とは	N/A	0	削除			検索なし			対象外	不要	
83	＋＋	繰り上げ返済 奨学金 機関保証	N/A	0	削除			検索なし			対象外	不要	
84	＋＋	繰り上げ返済 奨学金 一部	N/A	0	削除			検索なし			対象外	不要	
85	＋＋	繰上げ返済 奨学金	48	260	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
86	＋＋	奨学金 繰り上げ返済 シミュレーション	47	1300	計算ページ	Do（繰り上げ返済をシミュレーションしたい）	計算ツール		繰上返済計算	繰上返済の計算方法・シミュレーション	ツール集客	必須	計算ツール
87	＋＋	繰り上げ返済 やり方 クレジット	N/A	10	記事	Do（繰上返済の手続き・対策を知りたい）	ハウツー記事	手続き・対策	繰上返済_手続き・対策		権威構築	補足	
88	＋＋	繰り上げ返済 やり方 奨学金	N/A	N/A	削除			検索なし			対象外	不要	
89	＋＋	繰り上げ返済 やり方 住宅ローン	N/A	0	削除			検索なし			対象外	不要	
90	＋＋	繰上げ返済 やり方	33	260	記事	Do（繰上返済の手続き・対策を知りたい）	ハウツー記事	手続き・対策	繰上返済_手続き・対策		権威構築	補足	
91	＋＋	楽天カード 繰り上げ返済 やり方	55	2400	記事	Know（銀行別の繰り上げ返済を知りたい）	ガイド記事	銀行別	繰上返済_銀行別		権威構築	補足	
92	＋＋	paypay カード 繰り上げ返済 やり方	52	1300	記事	Do（繰上返済の手続き・対策を知りたい）	ハウツー記事	手続き・対策	繰上返済_手続き・対策		権威構築	補足	
93	＋＋	エポスカード 繰り上げ返済 やり方	52	1300	記事	Do（繰上返済の手続き・対策を知りたい）	ハウツー記事	手続き・対策	繰上返済_手続き・対策		権威構築	補足	
94	＋＋	jcb 繰り上げ返済 やり方	62	590	記事	Do（繰上返済の手続き・対策を知りたい）	ハウツー記事	手続き・対策	繰上返済_手続き・対策		権威構築	補足	
95	＋＋	三井住友カード 繰り上げ返済 やり方	61	480	記事	Know（銀行別の繰り上げ返済を知りたい）	ガイド記事	銀行別	繰上返済_銀行別		権威構築	補足	
96	＋α	繰り上げ返済 1月	N/A	10	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
97	＋α	繰り上げ返済 10年後	N/A	20	記事	Know（期間別の繰上返済を知りたい）	ガイド記事	期間別	繰上返済_期間別		権威構築	補足	
98	＋α	繰り上げ返済 12月	N/A	10	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
99	＋α	繰り上げ返済 10年	N/A	10	記事	Know（期間別の繰上返済を知りたい）	ガイド記事	期間別	繰上返済_期間別		権威構築	補足	
100	＋α	繰り上げ返済 1円	N/A	0	削除			検索なし			対象外	不要	
101	＋α	繰り上げ返済 1万円 効果	33	110	記事	Know（金額別の効果を知りたい）	ガイド記事	金額別効果	繰上返済_金額別効果		権威構築	補足	
102	＋α	繰り上げ返済 10年以内	N/A	0	削除			検索なし			対象外	不要	
103	＋α	繰り上げ返済 1ヶ月残す	N/A	0	削除			検索なし			対象外	不要	
104	＋α	繰り上げ返済 10年短縮	N/A	0	削除			検索なし			対象外	不要	
105	＋α	繰り上げ返済 10年未満	N/A	0	削除			検索なし			対象外	不要	
106	＋α	繰り上げ返済 2種類	N/A	0	削除			検索なし			対象外	不要	
107	＋α	繰り上げ返済 5年ルール	N/A	0	削除			検索なし			対象外	不要	
108	＋α	繰上返済 5年ルール	N/A	0	削除			検索なし			対象外	不要	
109	＋α	住宅ローン 5年ルール 繰上返済	N/A	0	削除			検索なし			対象外	不要	
110	＋α	繰り上げ返済 auじぶん銀行	N/A	0	削除			検索なし			対象外	不要	
111	＋α	繰り上げ返済 atm	N/A	20	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
112	＋α	繰り上げ返済 足利銀行	N/A	0	削除			検索なし			対象外	不要	
113	＋α	繰り上げ返済 アルヒ	N/A	10	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
114	＋α	繰り上げ返済 アイフル	N/A	0	削除			検索なし			対象外	不要	
115	＋α	繰り上げ返済 aupay	N/A	0	削除			検索なし			対象外	不要	
116	＋α	繰り上げ返済 頭金 どっち	N/A	20	記事	Know（期間短縮と返済額軽減の違いを知りたい）	解説記事	方式比較	繰上返済_方式比較		権威構築	補足	
117	＋α	繰り上げ返済 アプラス	45	590	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
118	＋α	繰り上げ返済 アコム	N/A	0	削除			検索なし			対象外	不要	
119	＋α	繰り上げ返済 愛知銀行	N/A	0	削除			検索なし			対象外	不要	
120	＋α	繰り上げ返済 いくらから	33	140	記事	Know（繰上返済の金額・相場を知りたい）	ガイド記事	相場ガイド	繰上返済計算	繰上返済の計算方法・シミュレーション	権威構築	必須	計算ツール
121	＋α	繰り上げ返済 違約金	N/A	40	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
122	＋α	繰り上げ返済 いくら たまったら	33	590	記事	Know（繰上返済の金額・相場を知りたい）	ガイド記事	相場ガイド	繰上返済計算	繰上返済の計算方法・シミュレーション	権威構築	必須	計算ツール
123	＋α	繰り上げ返済 一括返済	N/A	20	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
124	＋α	繰り上げ返済 1000万円	N/A	20	記事	Know（金額別の効果を知りたい）	ガイド記事	金額別効果	繰上返済_金額別効果		権威構築	補足	
125	＋α	繰り上げ返済 いつからできる	N/A	0	削除			検索なし			対象外	不要	
126	＋α	繰り上げ返済 いつがいい	N/A	20	記事	Know（繰り上げ返済の最適なタイミングを知りたい）	ガイド記事	タイミング	繰上返済_タイミング		権威構築	補足	
127	＋α	繰り上げ返済 いつ	N/A	10	記事	Know（繰り上げ返済の最適なタイミングを知りたい）	ガイド記事	タイミング	繰上返済_タイミング		権威構築	補足	
128	＋α	繰り上げ返済 いつ反映	N/A	0	削除			検索なし			対象外	不要	
129	＋α	繰り上げ返済 一部	N/A	20	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
130	＋α	繰り上げ返済 ufj	N/A	90	記事	Know（銀行別の繰り上げ返済を知りたい）	ガイド記事	銀行別	繰上返済_銀行別		権威構築	補足	
131	＋α	繰り上げ返済 運用 どっち	N/A	0	削除			検索なし			対象外	不要	
132	＋α	繰上返済 運用	N/A	0	削除			検索なし			対象外	不要	
133	＋α	ufj 繰上返済	N/A	10	記事	Know（銀行別の繰り上げ返済を知りたい）	ガイド記事	銀行別	繰上返済_銀行別		権威構築	補足	
134	＋α	繰り上げ返済 英語	N/A	40	削除			翻訳KW			対象外	不要	
135	＋α	繰り上げ返済 エポス	N/A	30	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
136	＋α	繰り上げ返済 エポスカード	N/A	10	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
137	＋α	繰り上げ返済 エクセル	N/A	10	計算ページ	Do（繰り上げ返済をシミュレーションしたい）	計算ツール		繰上返済計算	繰上返済の計算方法・シミュレーション	ツール集客	必須	計算ツール
138	＋α	繰り上げ返済 得か損か	N/A	20	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
139	＋α	繰上返済 英語	N/A	10	削除			翻訳KW			対象外	不要	
140	＋α	繰上げ返済 エポス	N/A	0	削除			検索なし			対象外	不要	
141	＋α	繰上返済 エクセル	N/A	0	削除			検索なし			対象外	不要	
142	＋α	jcb 繰上返済 エラー	N/A	N/A	削除			検索なし			対象外	不要	
143	＋α	相続税 延納 繰上返済	51	20	記事	Do（繰上返済の延納・分割を知りたい）	ハウツー記事	延納・分割	繰上返済_延納・分割		権威構築	補足	
144	＋α	繰り上げ返済 お得な方法	N/A	20	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
145	＋α	繰り上げ返済 オリコ	N/A	10	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
146	＋α	繰り上げ返済 お得	N/A	10	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
147	＋α	繰り上げ返済 おすすめ	N/A	10	記事	Buy（繰上返済関連のサービスを選びたい）	比較記事	おすすめ・比較	繰上返済_おすすめ・比較		権威構築	補足	
148	＋α	繰り上げ返済 大垣共立	N/A	0	削除			検索なし			対象外	不要	
149	＋α	繰り上げ返済 お得な時期	N/A	10	記事	Know（繰り上げ返済のメリット・デメリットを知りたい）	解説記事	メリデメ	繰上返済_メリデメ		権威構築	補足	
150	＋α	繰り上げ返済 オリーブ	N/A	0	削除			検索なし			対象外	不要	
151	＋α	繰り上げ返済 親から贈与	N/A	0	削除			検索なし			対象外	不要	
152	＋α	繰上げ返済 オリコ	N/A	0	削除			検索なし			対象外	不要	
153	＋α	オリックス銀行 繰上返済	N/A	0	削除			検索なし			対象外	不要	
154	＋α	繰り上げ返済 カード	82	110	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
155	＋α	繰り上げ返済 カーローン	33	390	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
156	＋α	繰り上げ返済 確定申告	N/A	20	記事	Do（繰上返済の申告をしたい）	ハウツー記事	申告・届出	繰上返済申告		権威構築	補足	
157	＋α	繰り上げ返済 完済	N/A	20	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
158	＋α	繰り上げ返済 借り換え 比較	N/A	0	削除			検索なし			対象外	不要	
159	＋α	繰り上げ返済 火災保険	N/A	10	記事	Know（保険と繰上返済の関係を知りたい）	解説記事	保険	繰上返済_保険		権威構築	補足	
160	＋α	繰り上げ返済 回数	N/A	10	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
161	＋α	繰り上げ返済 勘定科目	N/A	20	記事	Do（繰上返済の会計処理を調べたい）	解説記事	会計処理	繰上返済_会計処理		権威構築	補足	
162	＋α	繰り上げ返済 カードローン	62	320	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
163	＋α	繰り上げ返済 賢いやり方	N/A	10	記事	Do（繰上返済の手続き・対策を知りたい）	ハウツー記事	手続き・対策	繰上返済_手続き・対策		権威構築	補足	
164	＋α	繰り上げ返済 金利	55	140	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
165	＋α	繰り上げ返済 金利上昇	N/A	70	記事	Know（繰上返済が上がる理由を知りたい）	解説記事	値上がり・変動	繰上返済_値上がり・変動		権威構築	補足	
166	＋α	繰り上げ返済 金利変わる	N/A	50	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
167	＋α	繰り上げ返済 金額	N/A	30	記事	Know（繰上返済の金額・相場を知りたい）	ガイド記事	相場ガイド	繰上返済_相場ガイド	繰上返済の相場はいくら？金額目安一覧	権威構築	必須	解説記事
168	＋α	繰り上げ返済 キャンセル	N/A	0	削除			検索なし			対象外	不要	
169	＋α	繰り上げ返済 金利分	N/A	20	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
170	＋α	繰り上げ返済 金利 目安	N/A	0	削除			検索なし			対象外	不要	
171	＋α	繰上げ返済 金利	N/A	140	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
172	＋α	繰り上げ返済 クレジットカード	57	480	記事	Do（繰上返済の電子手続き・支払方法を知りたい）	ガイド記事	支払い方法	繰上返済_支払い方法		権威構築	補足	
173	＋α	繰り上げ返済 クレヒス	N/A	20	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
174	＋α	繰上返済 クレジットカード	N/A	0	削除			検索なし			対象外	不要	
175	＋α	繰上償還 繰上返済 違い	N/A	0	削除			検索なし			対象外	不要	
176	＋α	クレディセゾン 繰上返済	N/A	0	削除			検索なし			対象外	不要	
177	＋α	クレディセゾン 住宅ローン 繰上返済	N/A	0	削除			検索なし			対象外	不要	
178	＋α	国の教育ローン 繰上返済	N/A	10	記事	Know（繰上返済の概要を知りたい）	解説記事	基礎解説	繰上返済_基礎解説	繰上返済の基礎知識まとめ	権威構築	必須	ピラーページ
179	＋α	車 ローン 繰り上げ返済	56	720	記事	Know（車の繰上返済を知りたい）	解説記事	車・動産	繰上返済_車・動産		権威構築	補足	
