20	＋＋	不動産 建物 消費税 個人	N/A	N/A	削除			解説		検索なし			対象外	不要
21	＋＋	売主 個人 建物 消費税	N/A	0	削除			解説		検索なし			対象外	不要
22	＋＋	個人売主 建物 消費税	N/A	20	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
23	＋＋	固定資産税 建物 消費税 計算	N/A	40	計算ページ	Do（建物 消費税を計算したい）	計算方法	実務ガイド	計算ツール		建物消費税計算	建物消費税の計算方法・シミュレーション	ツール集客	必須	計算ツール
24	＋＋	不動産 建物 消費税 計算	N/A	40	計算ページ	Do（建物 消費税を計算したい）	計算方法	実務ガイド	計算ツール		建物消費税計算	建物消費税の計算方法・シミュレーション	ツール集客	必須	計算ツール
25	＋＋	土地 建物 消費税 計算	N/A	30	計算ページ	Do（建物 消費税を計算したい）	計算方法	実務ガイド	計算ツール		建物消費税計算	建物消費税の計算方法・シミュレーション	ツール集客	必須	計算ツール
26	＋＋	土地 建物 消費税 計算方法	N/A	20	計算ページ	Do（建物 消費税を計算したい）	計算方法	実務ガイド	計算ツール		建物消費税計算	建物消費税の計算方法・シミュレーション	ツール集客	必須	計算ツール
27	＋＋	仲介 手数料 建物 消費税 計算	N/A	0	削除			解説		検索なし			対象外	不要
28	＋＋	建物 建築 消費税 還付	N/A	10	記事	Know（建物 消費税の還付を知りたい）	税金	解説	解説記事	還付	建物消費税_還付		権威構築	補足
29	＋＋	建物 購入 消費税 還付	33	10	記事	Know（建物 消費税の還付を知りたい）	税金	解説	解説記事	還付	建物消費税_還付		権威構築	補足
30	＋＋	不動産 建物 消費税 還付	N/A	0	削除			解説		検索なし			対象外	不要
31	＋＋	建物 減価償却 消費税 含む	N/A	20	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
32	＋＋	建物 減価償却費 消費税	N/A	0	削除			解説		検索なし			対象外	不要
33	＋＋	土地 建物 消費税 按分	N/A	70	記事	Know（不動産での建物 消費税を知りたい）	税金	解説	解説記事	不動産特化	建物消費税_不動産特化	建物消費税と不動産投資の関係を解説	権威構築	必須	解説記事
34	＋＋	仲介手数料 土地 建物 按分 消費税	28	70	記事	Know（不動産での建物 消費税を知りたい）	税金	解説	解説記事	不動産特化	建物消費税_不動産特化	建物消費税と不動産投資の関係を解説	権威構築	必須	解説記事
35	＋＋	マンション 土地 建物 按分 消費税	N/A	0	削除			解説		検索なし			対象外	不要
36	＋＋	建物 売買 消費税 法人	N/A	30	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
37	＋＋	法人 建物 売却 消費税	48	30	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
38	＋＋	法人 建物 購入 消費税	N/A	20	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
39	＋α	建物 1000万 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
40	＋α	建物 消費税 インボイス	N/A	N/A	削除			解説		検索なし			対象外	不要
41	＋α	建物 消費税 いつから	N/A	0	削除			解説		検索なし			対象外	不要
42	＋α	売主個人 建物 消費税	N/A	0	削除			解説		検索なし			対象外	不要
43	＋α	建物 消費税 かからない	N/A	0	削除			解説		検索なし			対象外	不要
44	＋α	建物 消費税 かかる	N/A	N/A	削除			解説		検索なし			対象外	不要
45	＋α	建物 消費税 課税仕入	N/A	N/A	削除			解説		検索なし			対象外	不要
46	＋α	建物 消費税 課税	N/A	N/A	削除			解説		検索なし			対象外	不要
47	＋α	建物 貸付 消費税	N/A	30	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
48	＋α	建物 解体費用 消費税 個別対応	N/A	30	記事	Know（空き家の建物 消費税を知りたい）	税金	解説	解説記事	空き家	建物消費税_空き家		権威構築	補足
49	＋α	建物 解体費用 消費税	26	10	記事	Know（空き家の建物 消費税を知りたい）	税金	解説	解説記事	空き家	建物消費税_空き家		権威構築	補足
50	＋α	固都税 建物 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
51	＋α	建物 消費税 決め方	N/A	20	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
52	＋α	建物 消費税 居住用	N/A	10	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
53	＋α	建物 消費税 共通対応	N/A	N/A	削除			解説		検索なし			対象外	不要
54	＋α	居住用 建物 消費税 仕訳	N/A	20	記事	Do（建物 消費税の会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	建物消費税_会計処理		権威構築	補足
55	＋α	居住用不動産 建物 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
56	＋α	競売 建物 消費税	N/A	10	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
57	＋α	競売物件 建物 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
58	＋α	建物 消費税 計上時期	N/A	N/A	削除			解説		検索なし			対象外	不要
59	＋α	建物 建築 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
60	＋α	建物 消費税 控除	N/A	0	削除			解説		検索なし			対象外	不要
61	＋α	建物 消費税 個別対応	N/A	0	削除			解説		検索なし			対象外	不要
62	＋α	建物 消費税 国税庁	N/A	N/A	削除			解説		検索なし			対象外	不要
63	＋α	建物 購入 消費税	N/A	90	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
64	＋α	土地 建物 消費税 国税庁	N/A	0	削除			解説		検索なし			対象外	不要
65	＋α	固定資産税 建物 消費税	N/A	70	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
66	＋α	建物 消費税 仕訳	N/A	10	記事	Do（建物 消費税の会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	建物消費税_会計処理		権威構築	補足
67	＋α	建物 消費税 償却	N/A	N/A	削除			解説		検索なし			対象外	不要
68	＋α	建物 消費税 取得価額	N/A	N/A	削除			解説		検索なし			対象外	不要
69	＋α	建物 取得 消費税	N/A	30	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
70	＋α	建物 売却 消費税 仕訳	N/A	20	記事	Do（建物 消費税の会計処理を調べたい）	会計処理	実務ガイド	解説記事	会計処理	建物消費税_会計処理		権威構築	補足
71	＋α	建物 取得費 消費税	N/A	20	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
72	＋α	信託受益権 消費税 建物	N/A	0	削除			解説		検索なし			対象外	不要
73	＋α	固定資産税 精算 建物 消費税	N/A	0	削除			解説		検索なし			対象外	不要
74	＋α	建物 固定資産税 精算金 消費税	N/A	10	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
75	＋α	建物 棚卸資産 消費税	N/A	0	削除			解説		検索なし			対象外	不要
76	＋α	建物 貸借 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
77	＋α	建物 対価補償金 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
78	＋α	宅建 土地 建物 消費税	N/A	0	削除			解説		検索なし			対象外	不要
79	＋α	建物 消費税 仲介手数料	N/A	10	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
80	＋α	建物 消費税 賃貸	N/A	N/A	削除			解説		検索なし			対象外	不要
81	＋α	建物 賃料 消費税	N/A	40	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
82	＋α	建物 賃借料 消費税	N/A	20	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
83	＋α	建物 賃貸借契約 消費税	31	10	記事	Know（不動産での建物 消費税を知りたい）	税金	解説	解説記事	不動産特化	建物消費税_不動産特化	建物消費税と不動産投資の関係を解説	権威構築	必須	解説記事
84	＋α	建物 賃貸料 消費税	N/A	10	記事	Know（不動産での建物 消費税を知りたい）	税金	解説	解説記事	不動産特化	建物消費税_不動産特化	建物消費税と不動産投資の関係を解説	権威構築	必須	解説記事
85	＋α	不動産 仲介手数料 建物 消費税	30	30	記事	Know（不動産での建物 消費税を知りたい）	税金	解説	解説記事	不動産特化	建物消費税_不動産特化	建物消費税と不動産投資の関係を解説	権威構築	必須	解説記事
86	＋α	中古 建物 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
87	＋α	仲介手数料 土地 建物 消費税	N/A	10	記事	Know（不動産での建物 消費税を知りたい）	税金	解説	解説記事	不動産特化	建物消費税_不動産特化	建物消費税と不動産投資の関係を解説	権威構築	必須	解説記事
88	＋α	売買 仲介手数料 建物 消費税	N/A	0	削除			解説		検索なし			対象外	不要
89	＋α	建物 仕入 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
90	＋α	建物 坪単価 消費税	N/A	0	削除			解説		検索なし			対象外	不要
91	＋α	建物 手付金 消費税	N/A	0	削除			解説		検索なし			対象外	不要
92	＋α	建物 消費税 何	N/A	10	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
93	＋α	建物 消費税 何パーセント	N/A	N/A	削除			解説		検索なし			対象外	不要
94	＋α	建物 消費税 なぜ	N/A	N/A	削除			解説		検索なし			対象外	不要
95	＋α	建物 販売 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
96	＋α	販売用不動産 建物 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
97	＋α	破産管財人 建物 消費税	N/A	0	削除			解説		検索なし			対象外	不要
98	＋α	建物 解体 費用 消費税 個別対応	N/A	30	記事	Know（空き家の建物 消費税を知りたい）	税金	解説	解説記事	空き家	建物消費税_空き家		権威構築	補足
99	＋α	建物 取り壊し 費用 消費税	N/A	20	記事	Know（空き家の建物 消費税を知りたい）	税金	解説	解説記事	空き家	建物消費税_空き家		権威構築	補足
100	＋α	建物 評価額 消費税	N/A	0	削除			解説		検索なし			対象外	不要
101	＋α	不動産 建物 消費税	33	40	記事	Know（不動産での建物 消費税を知りたい）	税金	解説	解説記事	不動産特化	建物消費税_不動産特化	建物消費税と不動産投資の関係を解説	権威構築	必須	解説記事
102	＋α	不動産売買 建物 消費税	30	40	記事	Know（不動産での建物 消費税を知りたい）	税金	解説	解説記事	不動産特化	建物消費税_不動産特化	建物消費税と不動産投資の関係を解説	権威構築	必須	解説記事
103	＋α	不動産売却 建物 消費税	25	20	記事	Know（不動産での建物 消費税を知りたい）	税金	解説	解説記事	不動産特化	建物消費税_不動産特化	建物消費税と不動産投資の関係を解説	権威構築	必須	解説記事
104	＋α	不動産 土地 建物 消費税	N/A	0	削除			解説		検索なし			対象外	不要
105	＋α	不動産売買 土地 建物 消費税	30	0	削除			解説		検索なし			対象外	不要
106	＋α	不動産売買契約書 建物 消費税	N/A	0	削除			解説		検索なし			対象外	不要
107	＋α	建物 売却 消費税 法人	N/A	20	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
108	＋α	建物 購入 消費税 法人	N/A	N/A	削除			解説		検索なし			対象外	不要
109	＋α	保養所 建物 消費税	N/A	0	削除			解説		検索なし			対象外	不要
110	＋α	マンション 建物 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
111	＋α	マンション 土地 建物 消費税	N/A	0	削除			解説		検索なし			対象外	不要
112	＋α	民泊 建物 消費税	19	0	削除			解説		検索なし			対象外	不要
113	＋α	建物 未経過固定資産税 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
114	＋α	建物 無償譲渡 消費税	N/A	0	削除			解説		検索なし			対象外	不要
115	＋α	建物 消費税 免税事業者	N/A	N/A	削除			解説		検索なし			対象外	不要
116	＋α	建物 家賃 消費税	N/A	0	削除			解説		検索なし			対象外	不要
117	＋α	取り壊し 予定 建物 消費税	N/A	0	削除			解説		検索なし			対象外	不要
118	＋α	建物 用途変更 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
119	＋α	リゾートトラスト 建物 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
120	＋α	老人ホーム 建物 消費税	N/A	0	削除			解説		検索なし			対象外	不要
121	＋α	建物 消費税 逆算	N/A	0	削除			解説		検索なし			対象外	不要
122	＋α	行政財産使用料 建物 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
123	＋α	建物 譲渡 消費税	N/A	30	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
124	＋α	建物 除却 消費税	N/A	0	削除			解説		検索なし			対象外	不要
125	＋α	建物 受贈益 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
126	＋α	事業用 建物 消費税	N/A	20	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
127	＋α	譲渡所得 建物 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
128	＋α	住宅 建物 消費税	N/A	0	削除			解説		検索なし			対象外	不要
129	＋α	住宅ローン控除 建物 消費税	N/A	0	削除			解説		検索なし			対象外	不要
130	＋α	建物 消費税 税率	N/A	N/A	削除			解説		検索なし			対象外	不要
131	＋α	解体 前提 建物 消費税	N/A	0	削除			解説		検索なし			対象外	不要
132	＋α	建物 贈与 消費税	N/A	0	削除			解説		検索なし			対象外	不要
133	＋α	デイサービス 建物 消費税	N/A	N/A	削除			解説		検索なし			対象外	不要
134	＋α	建物 消費税 売却	N/A	N/A	削除			解説		検索なし			対象外	不要
135	＋α	建物 消費税 売買	N/A	N/A	削除			解説		検索なし			対象外	不要
136	＋α	建物 売却 消費税 簡易課税	N/A	10	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
137	＋α	建物 売却益 消費税	N/A	10	記事	Know（建物 消費税の概要を知りたい）	基礎知識	解説	解説記事	基礎解説	建物消費税_基礎解説	建物消費税の基礎知識まとめ	権威構築	必須	ピラーページ
138	＋α	不動産 売買 建物 消費税	30	40	記事	Know（不動産での建物 消費税を知りたい）	税金	解説	解説記事	不動産特化	建物消費税_不動産特化	建物消費税と不動産投資の関係を解説	権威構築	必須	解説記事
139	＋α	建物 消費税 簿価	N/A	0	削除			解説		検索なし			対象外	不要
140	＋α	建物 取り壊し費用 国税庁 消費税	N/A	0	削除			解説		検索なし			対象外	不要
141	＋α	建物 取り壊し費用 消費税	N/A	20	記事	Know（空き家の建物 消費税を知りたい）	税金	解説	解説記事	空き家	建物消費税_空き家		権威構築	補足
142	＋α	土地 建物 消費税	27	170	記事	Know（不動産での建物 消費税を知りたい）	税金	解説	解説記事	不動産特化	建物消費税_不動産特化	建物消費税と不動産投資の関係を解説	権威構築	必須	解説記事
